Data;13025 - �ndice Nacional de Pre�os ao Consumidor - varia��o mensal - S�o Paulo - %;20128 - �ndice de volume de vendas no varejo - Artigos farmac�uticos, m�dicos, ortop�dicos, de perfumaria e cosm�ticos - S�o Paulo - �ndice;20129 - �ndice de volume de vendas no varejo - Livros, jornais, revistas e papelaria - S�o Paulo - �ndice;20130 - �ndice de volume de vendas no varejo - Equipamentos e materiais para escrit�rio, inform�tica e comunica��o - S�o Paulo - �ndice;20131 - �ndice de volume de vendas no varejo - Outros artigos de uso pessoal e dom�stico - S�o Paulo - �ndice;20132 - �ndice de volume de vendas no varejo - Material de constru��o - S�o Paulo - �ndice;20133 - �ndice de volume de vendas no varejo - Total do com�rcio ampliado - S�o Paulo - �ndice;21925 - Produ��o Industrial (2012=100) � Geral � S�o Paulo - �ndice;25394 - �ndice de Atividade Econ�mica Regional - S�o Paulo - com ajuste sazonal - �ndice;28035 - PMS - �ndice de volume de servi�os - Total - S�o Paulo - com ajuste sazonal - �ndice
07/2006;52,10 ;72,50 ;54,40 ;69,70 ;45,20 ;67,70 ;54,40 ;170,50 ;0,15 ;0,12
08/2006;53,60 ;73,80 ;55,20 ;70,30 ;49,00 ;73,50 ;55,10 ;169,62 ;0,04 ;0,02
09/2006;53,50 ;70,40 ;55,80 ;69,10 ;47,80 ;68,50 ;55,70 ;172,10 ;0,18 ;0,19
10/2006;55,60 ;72,20 ;56,80 ;68,10 ;54,60 ;76,00 ;56,70 ;179,74 ;0,29 ;0,39
11/2006;55,90 ;73,30 ;56,70 ;79,10 ;53,60 ;77,00 ;56,60 ;185,29 ;0,26 ;0,42
12/2006;76,70 ;78,50 ;72,90 ;148,20 ;74,10 ;76,20 ;73,20 ;182,05 ;0,92 ;1,48
01/2007;54,10 ;74,20 ;54,40 ;66,70 ;55,40 ;70,10 ;54,50 ;184,72 ;0,50 ;0,40
02/2007;50,80 ;69,10 ;53,60 ;56,40 ;46,90 ;61,60 ;53,60 ;185,96 ;0,50 ;0,28
03/2007;58,40 ;74,90 ;60,30 ;67,10 ;54,80 ;77,90 ;60,30 ;192,86 ;0,30 ;0,29
04/2007;57,80 ;71,20 ;60,40 ;71,80 ;49,70 ;75,00 ;60,50 ;188,80 ;0,28 ;0,26
05/2007;60,80 ;70,60 ;58,60 ;100,30 ;59,20 ;80,20 ;58,70 ;184,93 ;0,29 ;0,26
06/2007;58,40 ;69,20 ;58,40 ;81,70 ;54,30 ;76,60 ;58,40 ;187,45 ;0,35 ;0,51
07/2007;58,60 ;71,80 ;58,80 ;78,50 ;54,20 ;82,90 ;58,90 ;186,98 ;-0,17 ;-0,18
08/2007;60,90 ;75,00 ;60,50 ;80,60 ;57,80 ;91,70 ;60,60 ;193,04 ;0,47 ;0,51
09/2007;60,30 ;74,50 ;62,10 ;73,20 ;55,20 ;78,90 ;62,20 ;194,34 ;0,19 ;0,27
10/2007;62,20 ;77,60 ;61,80 ;79,80 ;59,90 ;95,70 ;61,70 ;201,25 ;0,19 ;0,16
11/2007;64,60 ;79,90 ;62,60 ;92,20 ;64,90 ;89,40 ;62,50 ;205,48 ;0,36 ;0,38
12/2007;87,30 ;80,70 ;80,30 ;165,90 ;83,50 ;83,20 ;80,30 ;214,63 ;0,56 ;0,73
01/2008;62,20 ;80,90 ;60,60 ;77,60 ;63,50 ;81,30 ;60,50 ;229,09 ;0,55 ;0,64
02/2008;59,30 ;75,50 ;59,60 ;67,80 ;59,60 ;78,60 ;59,40 ;226,20 ;0,37 ;0,18
03/2008;67,70 ;83,00 ;68,10 ;80,50 ;65,50 ;90,20 ;67,90 ;223,94 ;0,42 ;0,45
04/2008;63,80 ;76,50 ;61,90 ;88,00 ;66,90 ;95,00 ;61,60 ;227,81 ;0,43 ;0,54
05/2008;70,40 ;83,30 ;65,70 ;111,60 ;74,40 ;90,70 ;65,40 ;233,92 ;0,88 ;1,13
06/2008;65,50 ;83,90 ;61,70 ;96,60 ;65,90 ;99,00 ;61,40 ;245,24 ;0,82 ;1,09
07/2008;66,40 ;90,10 ;63,90 ;86,80 ;66,80 ;101,10 ;63,60 ;252,13 ;0,54 ;0,68
08/2008;69,50 ;89,80 ;68,00 ;88,20 ;68,40 ;91,80 ;67,60 ;241,15 ;0,37 ;0,41
09/2008;67,70 ;87,70 ;64,70 ;86,00 ;70,20 ;104,90 ;64,20 ;234,68 ;0,36 ;0,32
10/2008;70,90 ;89,90 ;68,60 ;83,80 ;73,30 ;82,30 ;68,10 ;238,15 ;0,55 ;0,60
11/2008;69,70 ;82,80 ;68,90 ;88,40 ;68,50 ;69,90 ;68,40 ;238,66 ;0,17 ;0,08
12/2008;92,80 ;86,40 ;85,20 ;160,60 ;88,90 ;76,70 ;84,80 ;239,49 ;0,01 ;0,08
01/2009;67,60 ;81,00 ;67,80 ;75,90 ;70,10 ;80,90 ;67,40 ;241,53 ;0,24 ;0,28
02/2009;62,90 ;77,60 ;65,70 ;60,30 ;58,80 ;78,50 ;65,20 ;237,34 ;0,65 ;0,38
03/2009;68,80 ;85,50 ;70,70 ;70,70 ;61,40 ;105,50 ;70,10 ;221,90 ;0,30 ;0,42
04/2009;70,20 ;82,80 ;73,40 ;79,80 ;58,40 ;85,40 ;73,00 ;225,63 ;0,44 ;0,63
05/2009;73,20 ;84,40 ;73,40 ;95,30 ;66,30 ;95,30 ;73,00 ;227,36 ;0,31 ;0,35
06/2009;70,30 ;80,90 ;68,80 ;99,70 ;62,20 ;119,90 ;68,20 ;228,10 ;0,36 ;0,47
07/2009;71,70 ;84,90 ;72,20 ;86,60 ;68,20 ;95,50 ;71,70 ;227,17 ;0,57 ;0,79
08/2009;73,80 ;85,90 ;75,00 ;81,90 ;70,50 ;102,30 ;74,50 ;225,69 ;0,24 ;0,16
09/2009;72,00 ;86,20 ;72,20 ;78,40 ;71,40 ;123,40 ;71,60 ;229,89 ;0,21 ;0,24
10/2009;77,70 ;92,70 ;78,30 ;85,40 ;76,20 ;101,80 ;77,70 ;230,03 ;0,31 ;0,25
11/2009;76,80 ;89,10 ;76,40 ;93,60 ;78,90 ;97,70 ;75,80 ;234,99 ;0,36 ;0,31
12/2009;100,50 ;94,20 ;92,90 ;171,20 ;103,20 ;100,60 ;92,10 ;228,19 ;0,45 ;0,30
01/2010;75,60 ;88,60 ;75,20 ;74,20 ;83,80 ;87,90 ;74,50 ;225,02 ;1,00 ;1,55
02/2010;70,60 ;81,00 ;73,50 ;67,00 ;69,70 ;93,50 ;72,90 ;229,64 ;0,78 ;0,67
03/2010;80,00 ;90,60 ;81,70 ;82,30 ;78,10 ;138,60 ;81,00 ;253,74 ;0,30 ;0,45
04/2010;77,00 ;87,80 ;78,40 ;93,60 ;71,50 ;95,50 ;77,80 ;261,39 ;0,45 ;0,61
05/2010;80,70 ;92,90 ;79,40 ;108,50 ;78,00 ;97,90 ;78,70 ;256,31 ;0,33 ;0,30
06/2010;78,50 ;88,80 ;76,90 ;99,70 ;73,70 ;100,10 ;76,30 ;249,06 ;0,00 ;-0,14
07/2010;79,50 ;91,80 ;79,70 ;95,70 ;75,20 ;106,70 ;78,90 ;239,38 ;-0,01 ;-0,01
08/2010;81,00 ;94,90 ;80,30 ;93,60 ;80,50 ;121,40 ;79,50 ;235,65 ;0,00 ;0,07
09/2010;79,70 ;93,30 ;78,80 ;88,70 ;79,50 ;114,10 ;77,90 ;241,08 ;0,68 ;0,80
10/2010;83,60 ;96,80 ;83,20 ;96,40 ;84,90 ;119,10 ;82,30 ;253,79 ;0,79 ;1,01
11/2010;83,10 ;94,80 ;79,10 ;101,70 ;93,50 ;125,70 ;78,40 ;264,61 ;0,62 ;0,85
12/2010;110,70 ;101,10 ;98,70 ;193,40 ;117,90 ;120,60 ;98,00 ;265,15 ;0,70 ;0,74
01/2011;80,80 ;92,70 ;78,60 ;82,70 ;97,30 ;100,00 ;78,00 ;261,25 ;0,88 ;1,13
02/2011;74,60 ;88,40 ;75,50 ;77,00 ;76,50 ;110,30 ;74,80 ;261,18 ;1,00 ;0,75
03/2011;83,30 ;96,40 ;82,60 ;91,10 ;85,20 ;117,20 ;81,80 ;267,58 ;0,78 ;0,55
04/2011;83,40 ;89,60 ;85,60 ;92,90 ;82,90 ;109,50 ;84,80 ;268,52 ;0,79 ;0,81
05/2011;85,10 ;90,10 ;80,80 ;115,10 ;93,60 ;124,10 ;79,90 ;272,98 ;0,33 ;0,33
06/2011;83,60 ;90,30 ;78,50 ;113,60 ;84,30 ;113,60 ;77,70 ;273,48 ;0,21 ;0,24
07/2011;84,80 ;93,10 ;83,90 ;99,70 ;87,90 ;114,70 ;83,10 ;263,38 ;0,12 ;-0,07
08/2011;84,70 ;93,50 ;83,60 ;92,60 ;88,60 ;123,40 ;82,80 ;266,75 ;0,39 ;0,50
09/2011;83,70 ;91,10 ;81,90 ;88,50 ;90,20 ;118,20 ;81,10 ;267,19 ;0,51 ;0,55
10/2011;87,60 ;94,00 ;85,90 ;92,10 ;98,20 ;114,80 ;85,20 ;266,97 ;0,38 ;0,38
11/2011;88,30 ;92,50 ;84,70 ;99,30 ;103,50 ;125,10 ;84,10 ;276,31 ;0,52 ;0,59
12/2011;117,80 ;96,90 ;103,40 ;191,60 ;134,00 ;122,20 ;102,80 ;277,27 ;0,40 ;0,43
01/2012;88,00 ;84,00 ;87,90 ;81,20 ;102,90 ;110,40 ;87,70 ;285,54 ;0,53 ;0,40
02/2012;83,90 ;88,00 ;88,00 ;72,00 ;84,40 ;101,60 ;87,70 ;276,54 ;0,33 ;0,23
03/2012;93,70 ;92,60 ;97,50 ;87,60 ;96,30 ;128,70 ;97,40 ;273,25 ;0,07 ;-0,06
04/2012;89,00 ;85,80 ;92,20 ;88,80 ;91,40 ;113,40 ;91,90 ;277,27 ;0,66 ;0,79
05/2012;93,20 ;89,00 ;90,70 ;119,20 ;97,40 ;128,70 ;90,10 ;283,69 ;0,22 ;0,37
06/2012;90,50 ;85,80 ;90,80 ;106,90 ;93,00 ;145,10 ;90,50 ;287,63 ;0,00 ;0,15
07/2012;92,20 ;95,80 ;92,40 ;102,40 ;97,60 ;141,50 ;92,10 ;299,39 ;0,36 ;0,32
08/2012;95,00 ;106,20 ;94,50 ;97,00 ;102,30 ;161,80 ;94,10 ;306,02 ;0,31 ;0,27
09/2012;92,30 ;101,10 ;95,10 ;90,90 ;94,00 ;111,10 ;95,00 ;309,08 ;0,47 ;0,54
10/2012;95,80 ;104,00 ;95,50 ;92,50 ;109,00 ;141,00 ;95,00 ;311,55 ;0,53 ;0,67
11/2012;97,50 ;99,20 ;96,30 ;103,50 ;110,60 ;122,20 ;96,30 ;299,26 ;0,52 ;0,44
12/2012;126,60 ;99,40 ;119,20 ;188,50 ;155,80 ;132,60 ;119,40 ;304,90 ;0,62 ;0,51
01/2013;92,90 ;91,30 ;92,10 ;83,80 ;112,60 ;115,60 ;91,90 ;318,40 ;0,99 ;1,02
02/2013;84,00 ;87,20 ;87,80 ;72,40 ;85,90 ;108,10 ;87,70 ;326,59 ;0,66 ;0,46
03/2013;98,30 ;100,20 ;103,70 ;94,00 ;94,60 ;130,10 ;103,90 ;336,26 ;0,48 ;0,45
04/2013;89,20 ;98,50 ;88,50 ;99,70 ;94,50 ;132,70 ;88,20 ;344,30 ;0,54 ;0,53
05/2013;96,70 ;103,50 ;95,50 ;115,80 ;100,00 ;131,20 ;95,50 ;342,05 ;0,21 ;0,23
06/2013;92,60 ;103,10 ;93,10 ;103,00 ;91,00 ;129,60 ;92,90 ;340,46 ;0,29 ;0,49
07/2013;97,40 ;105,70 ;97,10 ;110,30 ;100,20 ;132,20 ;96,90 ;327,44 ;0,06 ;-0,21
08/2013;101,70 ;110,90 ;102,50 ;100,30 ;104,90 ;137,70 ;102,30 ;319,66 ;0,26 ;0,18
09/2013;96,60 ;103,90 ;97,40 ;90,80 ;94,50 ;123,70 ;97,10 ;312,07 ;0,36 ;0,27
10/2013;101,90 ;109,90 ;100,10 ;95,80 ;107,30 ;136,60 ;99,60 ;321,14 ;0,69 ;0,74
11/2013;103,60 ;106,60 ;103,50 ;108,50 ;114,00 ;134,30 ;103,40 ;325,56 ;0,45 ;0,44
12/2013;130,90 ;106,90 ;124,10 ;192,70 ;132,90 ;134,70 ;124,40 ;327,24 ;0,94 ;0,71
01/2014;98,90 ;97,30 ;99,10 ;83,60 ;109,90 ;115,30 ;99,00 ;323,47 ;0,53 ;0,60
02/2014;91,20 ;97,00 ;93,90 ;71,20 ;89,80 ;108,80 ;93,80 ;325,35 ;0,97 ;0,83
03/2014;97,80 ;100,00 ;101,30 ;83,30 ;101,20 ;98,00 ;101,40 ;351,46 ;0,93 ;0,84
04/2014;96,00 ;95,50 ;98,90 ;87,90 ;97,10 ;101,90 ;99,10 ;357,85 ;0,47 ;0,54
05/2014;99,90 ;97,00 ;98,20 ;111,70 ;105,40 ;106,30 ;98,30 ;366,54 ;0,12 ;0,10
06/2014;92,60 ;93,60 ;94,10 ;94,80 ;87,30 ;90,10 ;94,00 ;354,63 ;0,37 ;0,20
07/2014;95,30 ;99,10 ;95,90 ;103,00 ;88,10 ;100,50 ;95,90 ;345,42 ;0,18 ;0,31
08/2014;99,10 ;104,80 ;100,10 ;96,00 ;95,60 ;85,80 ;100,00 ;337,80 ;0,18 ;0,01
09/2014;94,20 ;102,60 ;94,00 ;85,60 ;90,40 ;94,50 ;93,70 ;333,12 ;0,65 ;0,53
10/2014;100,90 ;107,70 ;101,20 ;92,00 ;97,20 ;94,70 ;101,00 ;341,04 ;0,42 ;0,43
11/2014;104,10 ;103,90 ;102,10 ;108,10 ;110,10 ;100,90 ;102,10 ;347,96 ;0,50 ;0,55
12/2014;130,00 ;101,40 ;121,20 ;182,90 ;128,00 ;103,20 ;121,60 ;354,19 ;0,63 ;0,40
01/2015;99,90 ;94,80 ;99,10 ;82,70 ;106,80 ;80,80 ;99,40 ;371,22 ;1,51 ;2,14
02/2015;89,20 ;83,00 ;91,50 ;69,40 ;80,80 ;73,80 ;91,80 ;378,86 ;1,25 ;1,19
03/2015;97,40 ;93,20 ;98,20 ;81,00 ;86,70 ;87,80 ;98,20 ;379,35 ;1,31 ;1,52
04/2015;93,00 ;91,10 ;96,80 ;80,00 ;79,50 ;87,80 ;97,00 ;387,05 ;0,58 ;0,56
05/2015;96,50 ;93,10 ;96,50 ;102,50 ;86,10 ;84,30 ;96,50 ;402,05 ;0,69 ;0,96
06/2015;89,80 ;87,50 ;91,00 ;89,00 ;76,20 ;91,70 ;91,20 ;392,77 ;0,79 ;0,77
07/2015;91,70 ;93,10 ;94,20 ;90,50 ;76,80 ;92,30 ;94,10 ;395,83 ;0,79 ;0,86
08/2015;92,50 ;96,90 ;95,40 ;80,40 ;76,00 ;89,50 ;95,00 ;386,04 ;0,24 ;0,23
09/2015;90,20 ;92,70 ;93,50 ;73,90 ;76,70 ;88,60 ;93,20 ;383,21 ;0,71 ;0,69
10/2015;97,50 ;93,20 ;103,60 ;79,90 ;84,60 ;92,10 ;103,60 ;382,13 ;0,99 ;0,89
11/2015;97,80 ;87,60 ;100,00 ;85,20 ;97,40 ;94,30 ;100,00 ;399,21 ;0,88 ;0,88
12/2015;122,10 ;91,10 ;119,90 ;162,50 ;107,40 ;105,10 ;120,30 ;412,12 ;0,84 ;0,74
01/2016;89,50 ;77,30 ;96,00 ;67,20 ;78,70 ;78,70 ;96,30 ;448,31 ;1,10 ;1,37
02/2016;86,10 ;75,70 ;93,90 ;58,70 ;74,90 ;77,80 ;94,00 ;443,40 ;0,82 ;0,70
03/2016;92,80 ;85,30 ;99,70 ;63,50 ;78,40 ;90,40 ;99,90 ;444,11 ;0,57 ;0,68
04/2016;88,50 ;82,00 ;96,00 ;69,20 ;74,30 ;79,60 ;96,00 ;442,42 ;0,36 ;0,32
05/2016;89,80 ;81,70 ;94,80 ;89,40 ;75,70 ;76,90 ;94,90 ;449,70 ;0,93 ;1,47
06/2016;88,00 ;83,50 ;91,90 ;91,00 ;70,40 ;75,10 ;92,00 ;469,02 ;0,41 ;0,65
07/2016;89,40 ;82,90 ;96,90 ;73,10 ;74,30 ;70,10 ;97,10 ;475,27 ;0,33 ;0,47
08/2016;89,80 ;83,00 ;97,50 ;71,90 ;71,80 ;76,60 ;97,90 ;475,11 ;0,55 ;0,46
09/2016;85,60 ;83,10 ;92,10 ;64,80 ;70,40 ;73,70 ;91,70 ;471,57 ;0,06 ;-0,06
10/2016;91,30 ;82,50 ;98,60 ;70,40 ;78,40 ;71,70 ;97,90 ;469,55 ;0,23 ;0,04
11/2016;94,40 ;78,70 ;98,20 ;77,30 ;92,60 ;78,10 ;97,40 ;450,39 ;0,26 ;0,07
12/2016;117,00 ;87,40 ;115,90 ;145,70 ;104,00 ;83,10 ;115,20 ;438,89 ;0,35 ;0,05
01/2017;90,00 ;80,30 ;99,20 ;65,90 ;89,30 ;79,00 ;100,50 ;435,89 ;0,23 ;0,07
02/2017;83,40 ;78,60 ;93,80 ;61,50 ;76,20 ;60,80 ;95,90 ;426,22 ;0,27 ;0,14
03/2017;84,60 ;93,90 ;82,70 ;72,50 ;92,60 ;80,00 ;82,80 ;435,34 ;0,31 ;0,38
04/2017;90,10 ;93,40 ;97,90 ;80,20 ;77,70 ;62,90 ;100,70 ;446,28 ;0,16 ;0,16
05/2017;91,50 ;97,80 ;92,70 ;91,10 ;92,00 ;77,90 ;94,60 ;458,93 ;0,36 ;0,51
06/2017;90,70 ;99,00 ;91,90 ;93,20 ;85,90 ;72,50 ;93,70 ;441,61 ;-0,31 ;-0,42
07/2017;92,50 ;96,60 ;95,90 ;91,00 ;86,70 ;73,50 ;98,10 ;445,83 ;0,38 ;0,31
08/2017;91,40 ;95,90 ;94,90 ;83,70 ;87,20 ;88,40 ;96,80 ;431,66 ;0,29 ;0,02
09/2017;91,30 ;92,80 ;98,50 ;74,60 ;79,30 ;80,50 ;100,60 ;421,02 ;0,19 ;0,02
10/2017;93,10 ;95,60 ;99,20 ;77,60 ;84,10 ;81,80 ;101,50 ;428,13 ;0,50 ;0,51
11/2017;98,70 ;84,00 ;102,10 ;87,50 ;107,90 ;80,60 ;104,60 ;423,23 ;0,58 ;0,53
12/2017;123,40 ;85,20 ;122,30 ;174,10 ;110,90 ;87,70 ;126,40 ;424,36 ;0,62 ;0,43
01/2018;91,80 ;76,70 ;100,20 ;65,90 ;91,30 ;87,90 ;102,80 ;439,20 ;0,21 ;0,25
02/2018;82,70 ;71,90 ;93,00 ;55,10 ;75,40 ;76,50 ;95,00 ;437,33 ;0,29 ;0,09
03/2018;92,80 ;88,50 ;99,20 ;72,50 ;85,90 ;98,10 ;100,60 ;437,84 ;0,22 ;0,23
04/2018;90,00 ;94,80 ;96,70 ;72,50 ;78,00 ;96,50 ;98,60 ;434,80 ;0,10 ;0,04
05/2018;94,10 ;94,80 ;100,40 ;86,10 ;80,60 ;83,90 ;102,30 ;441,16 ;0,19 ;0,24
06/2018;91,40 ;89,70 ;95,70 ;86,30 ;81,20 ;89,60 ;97,30 ;451,63 ;1,11 ;1,32
07/2018;92,50 ;90,20 ;97,60 ;77,40 ;79,40 ;96,30 ;99,50 ;437,42 ;0,63 ;0,73
08/2018;96,20 ;95,50 ;102,00 ;83,60 ;85,60 ;108,00 ;104,10 ;432,81 ;0,12 ;0,23
09/2018;92,10 ;86,20 ;96,80 ;76,00 ;82,50 ;97,00 ;98,60 ;432,83 ;0,61 ;0,47
10/2018;93,30 ;85,30 ;97,30 ;78,90 ;82,50 ;105,00 ;98,80 ;446,02 ;0,41 ;0,31
11/2018;104,00 ;81,10 ;104,10 ;92,50 ;106,90 ;91,90 ;106,50 ;471,37 ;-0,30 ;-0,43
12/2018;125,20 ;85,40 ;123,60 ;171,10 ;103,50 ;90,50 ;127,70 ;471,44 ;0,03 ;0,01
01/2019;94,60 ;78,40 ;102,10 ;64,30 ;87,60 ;98,80 ;104,80 ;467,65 ;0,37 ;0,55
02/2019;86,70 ;76,10 ;95,30 ;62,70 ;74,70 ;91,00 ;97,50 ;482,40 ;0,44 ;0,53
03/2019;89,10 ;80,00 ;92,10 ;69,30 ;82,70 ;103,10 ;93,60 ;509,11 ;0,78 ;0,70
04/2019;91,80 ;91,70 ;98,20 ;66,80 ;79,10 ;107,20 ;100,70 ;522,05 ;0,49 ;0,42
05/2019;95,40 ;98,10 ;96,80 ;84,30 ;89,30 ;114,50 ;99,00 ;507,07 ;0,13 ;0,22
06/2019;93,20 ;96,20 ;95,20 ;87,80 ;81,10 ;105,90 ;97,00 ;501,68 ;-0,04 ;-0,08
07/2019;95,10 ;97,20 ;97,20 ;83,10 ;88,60 ;118,30 ;99,10 ;493,16 ;0,28 ;0,16
08/2019;99,00 ;98,40 ;105,20 ;77,10 ;86,20 ;107,60 ;107,80 ;481,44 ;0,33 ;0,38
09/2019;94,30 ;96,20 ;96,40 ;71,90 ;92,10 ;106,60 ;98,20 ;473,85 ;-0,06 ;-0,07
10/2019;98,90 ;100,40 ;101,60 ;79,60 ;94,10 ;116,30 ;103,20 ;473,59 ;0,14 ;0,12
11/2019;107,40 ;93,50 ;104,90 ;92,00 ;117,70 ;96,20 ;107,30 ;465,81 ;0,70 ;0,83
12/2019;128,50 ;86,20 ;119,00 ;165,80 ;133,10 ;102,50 ;122,80 ;506,50 ;0,93 ;1,02
01/2020;96,10 ;79,80 ;96,20 ;66,60 ;107,30 ;109,70 ;98,60 ;517,51 ;0,33 ;0,25
02/2020;91,40 ;75,00 ;96,60 ;62,00 ;94,00 ;92,30 ;99,00 ;519,76 ;0,23 ;0,04
03/2020;94,60 ;75,00 ;110,60 ;38,40 ;81,20 ;73,80 ;114,50 ;518,50 ;0,09 ;0,20
04/2020;77,10 ;64,10 ;100,00 ;12,80 ;46,90 ;30,50 ;104,60 ;556,25 ;-0,37 ;-0,32
05/2020;-;-;-;-;-;-;-;556,36 ;-0,28 ;-0,14
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;Dieese;IBGE;IBGE
