Data;1473 - Índice volume de vendas no varejo - Total - Espírito Santo - Índice;1488 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Espírito Santo - Índice;1501 - Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Espírito Santo - Índice;1514 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Espírito Santo - Índice;1527 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Espírito Santo - Índice;1553 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Espírito Santo - Índice;1566 - Índice volume de vendas no varejo - Hipermercados e supermercados - Espírito Santo - Índice;7494 - Cesta básica - Vitória - u.m.c.;21928 - Produção Industrial (2012=100)  Geral  Espírito Santo - com ajuste sazonal - Índice;25399 - Índice de Atividade Econômica Regional - Espírito Santo - com ajuste sazonal - Índice;28033 - PMS - Índice de volume de serviços - Total - Espírito Santo - com ajuste sazonal - Índice
01/2016;88,50 ;77,70 ;94,10 ;106,40 ;77,60 ;57,60 ;94,40 ;438,42 ;81,1 ;148,47;86,50
02/2016;82,20 ;79,40 ;92,50 ;64,40 ;71,90 ;45,80 ;92,90 ;401,38 ;91,9 ;151,50;90,30
03/2016;84,30 ;75,40 ;96,40 ;60,00 ;73,70 ;55,60 ;96,80 ;418,18 ;87,1 ;149,33;86,70
04/2016;80,90 ;74,00 ;93,60 ;61,40 ;70,70 ;55,80 ;93,90 ;414,26 ;86,2 ;146,70;87,10
05/2016;78,10 ;72,40 ;86,00 ;71,10 ;69,60 ;50,90 ;86,10 ;418,96 ;86,8 ;144,65;87,40
06/2016;77,40 ;68,70 ;87,60 ;80,80 ;61,50 ;63,00 ;87,90 ;428,69 ;84,5 ;144,93;86,10
07/2016;78,80 ;70,50 ;91,20 ;74,80 ;59,20 ;59,80 ;91,50 ;436,24 ;85,6 ;147,26;86,60
08/2016;77,90 ;72,90 ;89,20 ;69,30 ;59,50 ;57,20 ;89,60 ;436,53 ;81,6 ;144,80;83,70
09/2016;73,70 ;70,70 ;87,50 ;60,70 ;51,90 ;54,50 ;87,60 ;435,27 ;87,0 ;146,23;85,30
10/2016;79,40 ;73,90 ;92,30 ;68,00 ;58,20 ;51,00 ;92,40 ;449,16 ;87,1 ;147,66;85,40
11/2016;83,70 ;64,80 ;90,90 ;75,20 ;80,40 ;55,20 ;90,90 ;438,85 ;83,0 ;145,06;84,00
12/2016;106,20 ;73,90 ;118,10 ;140,50 ;79,80 ;58,20 ;118,60 ;426,32 ;88,7 ;147,31;85,80
01/2017;80,70 ;70,00 ;87,40 ;69,90 ;73,40 ;55,50 ;91,00 ;422,38 ;91,5 ;149,20;86,90
02/2017;62,70 ;58,10 ;67,80 ;57,00 ;53,30 ;48,50 ;67,90 ;414,03 ;89,3 ;146,03;84,70
03/2017;76,80 ;72,50 ;74,00 ;91,80 ;83,00 ;81,40 ;74,40 ;415,75 ;89,0 ;146,90;86,50
04/2017;77,10 ;61,50 ;80,80 ;88,80 ;69,80 ;60,50 ;82,40 ;431,54 ;90,1 ;148,64;85,90
05/2017;79,70 ;67,20 ;78,50 ;102,10 ;82,70 ;74,80 ;80,00 ;422,03 ;91,3 ;152,81;85,90
06/2017;77,30 ;65,70 ;79,60 ;78,70 ;79,40 ;79,30 ;80,90 ;404,54 ;90,6 ;152,73;89,90
07/2017;80,70 ;65,70 ;83,30 ;90,00 ;79,10 ;74,80 ;85,00 ;409,51 ;82,1 ;150,44;83,50
08/2017;80,50 ;70,40 ;82,20 ;82,60 ;82,40 ;83,30 ;83,60 ;397,89 ;87,6 ;149,10;84,00
09/2017;80,00 ;67,40 ;85,10 ;76,40 ;78,70 ;72,80 ;86,60 ;391,76 ;83,9 ;143,96;82,90
10/2017;82,50 ;70,00 ;83,90 ;90,30 ;81,80 ;77,70 ;85,60 ;393,71 ;84,1 ;146,65;82,70
11/2017;85,60 ;67,00 ;81,50 ;90,50 ;112,20 ;83,80 ;82,90 ;387,93 ;84,7 ;148,47;84,60
12/2017;104,50 ;68,80 ;107,30 ;115,60 ;113,40 ;75,10 ;110,40 ;385,19 ;83,7 ;149,40;88,10
01/2018;78,60 ;68,00 ;81,00 ;59,10 ;89,00 ;81,80 ;82,70 ;417,73 ;83,1 ;147,40;85,00
02/2018;73,60 ;59,10 ;76,00 ;65,70 ;84,70 ;82,30 ;77,50 ;410,84 ;83,9 ;150,00;85,20
03/2018;88,40 ;64,20 ;91,90 ;91,80 ;97,40 ;97,80 ;94,10 ;410,59 ;86,3 ;151,51;84,30
04/2018;81,60 ;65,30 ;81,10 ;85,70 ;97,80 ;86,30 ;82,50 ;409,80 ;88,1 ;153,72;95,40
05/2018;85,30 ;69,90 ;85,20 ;94,60 ;98,00 ;77,70 ;87,10 ;409,95 ;85,8 ;160,05;82,10
06/2018;83,80 ;63,90 ;83,50 ;90,60 ;102,20 ;86,50 ;85,30 ;413,73 ;83,1 ;155,35;84,10
07/2018;84,60 ;68,50 ;84,40 ;90,80 ;97,90 ;92,70 ;86,20 ;406,43 ;84,9 ;154,05;85,00
08/2018;89,00 ;70,70 ;86,80 ;92,60 ;107,30 ;103,20 ;88,50 ;395,70 ;85,7 ;153,78;82,30
09/2018;83,20 ;69,70 ;84,40 ;78,90 ;97,00 ;92,90 ;86,10 ;395,64 ;86,8 ;153,67;83,50
10/2018;89,90 ;72,50 ;87,50 ;100,50 ;108,30 ;96,90 ;89,20 ;419,69 ;88,0 ;153,67;82,10
11/2018;94,80 ;68,30 ;87,60 ;114,10 ;130,20 ;101,20 ;89,30 ;408,55 ;87,5 ;154,88;81,20
12/2018;109,70 ;72,80 ;110,30 ;123,10 ;121,20 ;87,10 ;113,50 ;403,79 ;86,0 ;153,59;83,20
01/2019;86,20 ;73,20 ;90,00 ;70,30 ;91,70 ;97,50 ;92,10 ;423,96 ;82,7 ;154,60;84,20
02/2019;83,00 ;67,60 ;84,70 ;79,80 ;92,20 ;86,30 ;86,60 ;449,54 ;74,7 ;152,99;82,80
03/2019;90,60 ;72,30 ;92,10 ;88,10 ;109,10 ;83,70 ;94,50 ;475,84 ;76,6 ;152,88;84,30
04/2019;87,70 ;70,80 ;87,50 ;91,20 ;99,50 ;91,30 ;89,60 ;498,54 ;72,6 ;151,41;85,20
05/2019;91,00 ;73,00 ;88,20 ;105,50 ;110,90 ;99,20 ;89,60 ;484,84 ;71,3 ;152,62;86,50
06/2019;83,50 ;67,40 ;81,00 ;91,20 ;96,00 ;92,30 ;81,80 ;485,34 ;72,4 ;152,26;85,80
07/2019;88,20 ;68,60 ;87,00 ;101,40 ;95,70 ;100,60 ;88,40 ;466,93 ;72,7 ;150,90;86,30
08/2019;89,00 ;69,80 ;90,10 ;95,70 ;92,10 ;103,10 ;92,00 ;441,50 ;71,5 ;150,78;87,80
09/2019;86,20 ;68,00 ;84,20 ;89,50 ;102,60 ;98,20 ;85,80 ;429,06 ;74,3 ;151,91;84,80
10/2019;94,50 ;73,40 ;90,00 ;112,00 ;108,80 ;114,70 ;92,00 ;428,25 ;68,6 ;150,36;87,90
11/2019;100,30 ;67,00 ;94,20 ;117,20 ;135,50 ;106,60 ;96,70 ;462,06 ;65,1 ;149,17;84,30
12/2019;111,30 ;72,50 ;106,20 ;134,10 ;133,00 ;99,00 ;110,10 ;499,23 ;65,1 ;148,45;82,50
01/2020;90,70 ;67,40 ;89,20 ;84,40 ;114,80 ;108,00 ;92,30 ;492,20 ;66,0 ;148,43;81,90
02/2020;87,80 ;64,80 ;91,00 ;85,70 ;100,40 ;91,50 ;94,40 ;480,03 ;70,9 ;149,95;80,80
03/2020;86,90 ;57,40 ;100,30 ;62,20 ;79,50 ;85,10 ;104,70 ;504,78 ;66,6 ;145,04;78,80
04/2020;72,00 ;43,80 ;96,10 ;16,00 ;58,70 ;48,80 ;100,70 ;537,89 ;55,5 ;135,22;75,30
05/2020;-;-;-;-;-;-;-;536,73 ;-;-;
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;Dieese;IBGE;BCB-Depec;BCB e IBGE
