Data;1474 - indice volume de vendas no varejo - Total - Rio de Janeiro - indice;1489 - indice volume de vendas no varejo - Combustiveis e lubrificantes - Rio de Janeiro - indice;1502 - indice volume de vendas no varejo - Hiper/supermercado, Prod. alimenticios, bebidas, fumo - Rio de Janeiro - indice;1515 - indice volume de vendas no varejo - Tecido, vestuario e calcado - Rio de Janeiro - indice;1528 - indice volume de vendas no varejo - Moveis e eletrodomesticos - Rio de Janeiro - indice;1554 - indice volume de vendas no varejo - Automoveis, motocicletas, partes e pecas - Rio de Janeiro - indice;1567 - indice volume de vendas no varejo - Hipermercados e supermercados - Rio de Janeiro - indice;7491 - Cesta basica - Rio de Janeiro - u.m.c.;13381 - indice Nacional de Precos ao Consumidor Amplo - variacao mensal - Rio de Janeiro - %;13382 - indice Nacional de Precos ao Consumidor - variacao mensal - Rio de Janeiro - %;21929 - Producao Industrial (2012=100) - Geral - Rio de Janeiro - com ajuste sazonal - indice;25397 - indice de Atividade Economica Regional - Rio de Janeiro - com ajuste sazonal - indice;28034 - PMS - indice de volume de servicos - Total - Rio de Janeiro - com ajuste sazonal - indice
01/2009;72,80 ;77,40 ;78,00 ;62,40 ;71,60 ;75,30 ;80,70 ;224,74 ;0,77;1,00 ;90,3 ;122,15 ;-
02/2009;66,10 ;72,70 ;75,60 ;58,10 ;55,20 ;63,70 ;78,00 ;223,52 ;0,62;0,20 ;88,3 ;122,25 ;-
03/2009;71,60 ;79,30 ;78,60 ;69,00 ;58,90 ;92,00 ;80,50 ;218,62 ;0,03;0,00 ;93,2 ;124,74 ;-
04/2009;69,20 ;74,00 ;79,80 ;66,10 ;53,40 ;66,80 ;82,20 ;222,60 ;0,44;0,40 ;94,1 ;124,00 ;-
05/2009;72,30 ;76,10 ;78,60 ;78,50 ;61,70 ;81,90 ;80,80 ;221,01 ;0,58;0,70 ;96,2 ;125,48 ;-
06/2009;69,70 ;72,20 ;76,00 ;81,60 ;57,70 ;105,00 ;78,00 ;220,20 ;0,38;0,40 ;96,0 ;125,38 ;-
07/2009;73,10 ;74,50 ;79,10 ;79,70 ;62,20 ;79,50 ;81,00 ;211,88 ;-0,05;0,00 ;97,3 ;125,57 ;-
08/2009;73,80 ;72,70 ;81,30 ;74,50 ;63,60 ;86,60 ;83,30 ;213,75 ;-0,09;-0,10 ;97,0 ;125,96 ;-
09/2009;71,60 ;73,70 ;79,80 ;66,10 ;68,90 ;105,00 ;81,60 ;219,64 ;0,19;0,00 ;100,6 ;127,97 ;-
10/2009;77,90 ;80,30 ;87,20 ;77,60 ;73,30 ;81,70 ;89,40 ;224,75 ;0,39;0,30 ;100,7 ;127,94 ;-
11/2009;77,70 ;80,40 ;82,00 ;78,20 ;84,70 ;76,30 ;83,90 ;226,97 ;0,33;0,40 ;97,6 ;127,43 ;-
12/2009;107,00 ;85,20 ;109,90 ;160,80 ;111,70 ;80,60 ;113,00 ;213,36 ;0,20;0,10 ;102,8 ;128,46 ;-
01/2010;78,20 ;84,30 ;85,60 ;61,20 ;83,90 ;82,40 ;87,50 ;213,77 ;1,00;1,20 ;102,4 ;129,71 ;-
02/2010;73,20 ;76,40 ;84,70 ;62,50 ;67,90 ;71,80 ;86,20 ;221,80 ;0,80;0,70 ;106,8 ;130,69 ;-
03/2010;80,40 ;76,10 ;89,70 ;75,50 ;77,30 ;121,20 ;90,70 ;240,22 ;0,80;0,80 ;100,5 ;130,36 ;-
04/2010;74,40 ;73,40 ;85,90 ;75,50 ;64,30 ;75,70 ;86,70 ;253,13 ;0,63;0,70 ;103,0 ;130,75 ;-
05/2010;79,50 ;77,50 ;87,50 ;92,50 ;76,70 ;81,10 ;88,50 ;240,36 ;0,70;0,70 ;106,5 ;131,58 ;-
06/2010;77,40 ;74,10 ;86,00 ;93,70 ;71,40 ;76,00 ;87,00 ;228,16 ;0,04;-0,20 ;108,4 ;131,93 ;-
07/2010;79,90 ;79,40 ;89,80 ;92,30 ;71,30 ;83,60 ;90,70 ;213,10 ;-0,16;-0,20 ;108,5 ;132,49 ;-
08/2010;81,00 ;79,60 ;89,20 ;88,60 ;74,40 ;89,10 ;90,20 ;211,88 ;0,01;0,10 ;107,7 ;133,18 ;-
09/2010;81,20 ;79,20 ;88,70 ;82,70 ;79,00 ;88,80 ;89,30 ;219,54 ;0,28;0,30 ;106,8 ;133,41 ;-
10/2010;86,50 ;82,40 ;94,50 ;90,90 ;87,00 ;89,90 ;95,90 ;230,13 ;0,42;0,40 ;107,5 ;133,90 ;-
11/2010;85,20 ;77,50 ;88,20 ;89,90 ;98,40 ;98,40 ;89,20 ;242,35 ;1,02;1,20 ;109,1 ;135,50 ;-
12/2010;119,80 ;88,80 ;117,30 ;185,80 ;138,40 ;97,60 ;119,80 ;242,67 ;0,69;0,70 ;105,2 ;134,80 ;-
01/2011;85,70 ;83,10 ;90,30 ;74,60 ;101,80 ;92,20 ;91,50 ;252,24 ;0,94;1,00 ;105,4 ;134,64 ;89,20
02/2011;80,90 ;79,70 ;86,20 ;75,00 ;86,70 ;96,90 ;86,90 ;249,02 ;0,69;0,30 ;112,7 ;135,41 ;89,50
03/2011;83,80 ;78,00 ;93,40 ;79,60 ;82,10 ;86,00 ;94,00 ;259,80 ;0,67;0,50 ;108,0 ;134,01 ;89,80
04/2011;84,90 ;77,60 ;95,10 ;79,30 ;83,70 ;87,20 ;96,90 ;255,16 ;0,82;0,70 ;109,3 ;135,63 ;89,40
05/2011;86,90 ;74,20 ;89,10 ;101,10 ;98,40 ;95,60 ;90,20 ;260,00 ;0,60;0,70 ;107,4 ;134,61 ;90,60
06/2011;82,20 ;73,70 ;87,30 ;100,20 ;84,00 ;92,30 ;88,30 ;256,91 ;0,12;0,20 ;104,3 ;134,16 ;88,40
07/2011;85,50 ;77,30 ;91,80 ;94,90 ;90,10 ;93,90 ;93,00 ;241,47 ;0,11;0,00 ;105,7 ;134,32 ;91,00
08/2011;86,50 ;79,60 ;90,10 ;88,70 ;96,20 ;94,70 ;90,90 ;253,10 ;0,47;0,70 ;109,5 ;134,66 ;91,00
09/2011;85,10 ;76,80 ;89,00 ;86,10 ;98,30 ;90,90 ;90,10 ;250,81 ;0,42;0,40 ;108,3 ;135,42 ;90,00
10/2011;89,20 ;80,80 ;95,20 ;92,20 ;97,70 ;83,70 ;96,80 ;251,97 ;0,43;0,30 ;106,7 ;135,44 ;88,00
11/2011;90,30 ;80,20 ;90,60 ;98,60 ;110,70 ;92,20 ;91,80 ;261,69 ;0,46;0,40 ;107,6 ;136,47 ;91,90
12/2011;123,10 ;86,90 ;118,20 ;190,70 ;151,60 ;94,40 ;120,50 ;262,90 ;0,66;0,70 ;106,3 ;135,48 ;93,90
01/2012;86,50 ;82,20 ;87,10 ;74,90 ;120,60 ;91,50 ;89,20 ;271,71 ;1,11;1,48 ;91,6 ;134,41 ;93,50
02/2012;83,60 ;84,30 ;90,00 ;73,10 ;92,50 ;76,80 ;92,10 ;263,46 ;0,95;0,68 ;100,7 ;136,78 ;93,80
03/2012;90,90 ;90,30 ;94,20 ;84,60 ;107,80 ;91,60 ;95,90 ;256,74 ;-0,05;0,14 ;101,8 ;136,65 ;93,80
04/2012;85,70 ;85,80 ;91,70 ;77,90 ;91,80 ;79,00 ;92,70 ;252,04 ;0,81;0,62 ;102,7 ;137,14 ;94,10
05/2012;88,80 ;85,60 ;90,80 ;104,10 ;99,10 ;90,00 ;91,30 ;260,49 ;0,07;0,34 ;101,6 ;137,48 ;95,40
06/2012;87,80 ;87,80 ;90,00 ;104,30 ;93,00 ;104,30 ;91,50 ;270,36 ;0,23;0,43 ;98,4 ;137,79 ;95,30
07/2012;89,40 ;92,20 ;91,50 ;102,80 ;96,70 ;100,20 ;93,00 ;290,64 ;0,54;0,40 ;100,5 ;138,15 ;95,70
08/2012;91,70 ;93,90 ;93,10 ;97,80 ;100,00 ;116,70 ;94,90 ;302,52 ;0,45;0,59 ;100,0 ;138,32 ;97,00
09/2012;87,90 ;96,20 ;90,60 ;90,40 ;93,40 ;77,70 ;92,90 ;297,17 ;0,74;0,67 ;98,9 ;136,61 ;94,40
10/2012;93,50 ;98,90 ;95,30 ;94,80 ;102,60 ;103,00 ;97,80 ;295,39 ;0,47;0,57 ;100,6 ;137,88 ;97,40
11/2012;93,40 ;93,70 ;94,50 ;100,00 ;107,20 ;91,20 ;96,10 ;272,10 ;0,50;0,37 ;100,0 ;138,32 ;96,50
12/2012;129,20 ;106,40 ;119,30 ;196,00 ;153,20 ;101,50 ;122,50 ;281,83 ;1,29;1,12 ;100,9 ;139,49 ;98,10
01/2013;91,50 ;95,40 ;91,50 ;76,80 ;106,00 ;102,00 ;92,70 ;303,86 ;0,73;0,88 ;102,0 ;139,69 ;97,00
02/2013;84,10 ;88,40 ;89,40 ;65,60 ;85,60 ;74,50 ;90,50 ;306,83 ;0,25;-0,06 ;102,2 ;136,98 ;94,80
03/2013;97,60 ;97,30 ;99,40 ;83,10 ;97,00 ;94,00 ;101,10 ;314,99 ;0,27;0,60 ;102,3 ;138,71 ;97,00
04/2013;88,10 ;91,00 ;88,30 ;90,00 ;95,10 ;98,20 ;89,60 ;327,52 ;0,59;0,58 ;101,3 ;138,76 ;97,80
05/2013;93,90 ;95,20 ;94,00 ;104,00 ;104,00 ;103,30 ;95,40 ;321,41 ;0,63;0,59 ;99,6 ;138,90 ;96,70
06/2013;89,10 ;92,50 ;89,30 ;95,90 ;93,50 ;99,80 ;90,40 ;310,00 ;0,65;0,72 ;99,8 ;139,13 ;98,30
07/2013;95,10 ;94,10 ;94,10 ;106,10 ;104,00 ;109,60 ;93,30 ;300,71 ;-0,16;-0,61 ;99,5 ;139,45 ;97,00
08/2013;98,30 ;99,20 ;99,10 ;99,70 ;105,60 ;108,70 ;100,80 ;298,42 ;0,19;0,17 ;97,3 ;139,81 ;97,60
09/2013;92,60 ;98,70 ;94,90 ;87,40 ;94,10 ;100,60 ;94,10 ;295,59 ;0,40;0,34 ;100,5 ;141,16 ;98,90
10/2013;98,50 ;100,90 ;100,20 ;94,70 ;102,70 ;107,50 ;101,40 ;312,90 ;0,54;0,52 ;100,1 ;141,18 ;99,30
11/2013;101,80 ;104,20 ;99,90 ;103,40 ;114,30 ;106,30 ;98,20 ;316,88 ;0,75;0,73 ;98,3 ;141,17 ;99,30
12/2013;132,40 ;105,10 ;119,00 ;197,20 ;145,80 ;108,00 ;119,90 ;315,52 ;1,16;1,00 ;97,4 ;140,65 ;98,80
01/2014;95,90 ;102,30 ;96,40 ;77,40 ;107,50 ;100,70 ;95,30 ;310,52 ;0,50;0,57 ;98,9 ;141,22 ;100,20
02/2014;89,90 ;101,20 ;95,10 ;75,70 ;88,50 ;90,70 ;94,20 ;314,72 ;1,07;1,31 ;101,0 ;141,75 ;100,30
03/2014;92,00 ;98,90 ;97,70 ;74,00 ;93,20 ;88,80 ;97,70 ;345,11 ;1,28;1,09 ;103,8 ;141,59 ;100,00
04/2014;94,40 ;96,20 ;97,50 ;84,20 ;90,80 ;98,40 ;97,80 ;346,18 ;0,42;0,56 ;96,3 ;141,32 ;101,10
05/2014;98,80 ;98,00 ;97,70 ;105,10 ;108,30 ;101,10 ;98,30 ;348,04 ;0,55;0,92 ;94,4 ;140,65 ;100,50
06/2014;93,20 ;92,20 ;94,30 ;105,90 ;91,90 ;85,20 ;94,40 ;343,44 ;0,40;0,07 ;99,2 ;141,73 ;104,40
07/2014;96,60 ;95,60 ;98,50 ;97,70 ;90,30 ;99,80 ;97,90 ;330,22 ;-0,08;0,09 ;100,7 ;141,81 ;101,40
08/2014;100,20 ;100,80 ;103,30 ;100,50 ;93,80 ;99,30 ;103,10 ;327,64 ;0,42;0,35 ;98,9 ;141,51 ;98,90
09/2014;96,60 ;101,50 ;96,80 ;87,90 ;92,20 ;106,30 ;96,20 ;326,78 ;0,36;0,22 ;93,1 ;140,82 ;99,20
10/2014;103,70 ;104,90 ;104,70 ;96,40 ;94,30 ;107,40 ;105,30 ;336,10 ;0,53;0,45 ;94,5 ;140,70 ;98,80
11/2014;103,20 ;100,80 ;97,50 ;108,40 ;114,70 ;109,80 ;97,70 ;325,91 ;0,52;0,58 ;97,0 ;141,05 ;98,40
12/2014;135,50 ;107,60 ;120,60 ;186,90 ;134,60 ;112,40 ;122,00 ;338,03 ;1,39;1,17 ;95,9 ;141,11 ;97,20
01/2015;98,50 ;102,10 ;96,50 ;76,30 ;106,00 ;100,80 ;95,80 ;353,51 ;1,71;2,41 ;97,5 ;144,17 ;97,30
02/2015;89,90 ;90,60 ;94,90 ;68,00 ;82,40 ;67,40 ;95,40 ;357,27 ;1,19;1,13 ;92,4 ;140,39 ;97,10
03/2015;95,50 ;97,80 ;94,50 ;79,00 ;84,50 ;88,10 ;95,10 ;358,68 ;1,35;1,84 ;94,9 ;141,48 ;98,00
04/2015;90,70 ;89,20 ;94,40 ;79,10 ;72,30 ;81,10 ;94,40 ;374,85 ;0,81;0,81 ;94,7 ;140,77 ;97,10
05/2015;95,90 ;97,40 ;95,60 ;94,40 ;82,90 ;83,20 ;95,60 ;395,23 ;0,35;0,73 ;94,1 ;140,13 ;97,50
06/2015;89,80 ;94,10 ;90,80 ;88,80 ;69,20 ;82,80 ;90,40 ;368,71 ;0,65;0,48 ;92,3 ;139,14 ;95,10
07/2015;92,80 ;95,40 ;94,60 ;94,50 ;69,90 ;91,90 ;94,20 ;372,24 ;0,46;0,42 ;91,9 ;138,76 ;98,00
08/2015;94,50 ;94,00 ;100,20 ;86,70 ;70,00 ;82,60 ;100,10 ;361,93 ;-0,02;0,06 ;94,2 ;139,83 ;96,70
09/2015;90,80 ;92,90 ;95,20 ;79,10 ;72,50 ;79,00 ;94,30 ;362,90 ;0,49;0,34 ;82,6 ;137,53 ;96,30
10/2015;98,00 ;96,90 ;103,20 ;88,20 ;79,60 ;73,30 ;102,20 ;359,66 ;0,59;0,47 ;83,6 ;137,85 ;98,40
11/2015;97,60 ;92,80 ;93,20 ;93,50 ;97,30 ;74,00 ;92,00 ;385,80 ;1,24;1,44 ;84,7 ;136,92 ;95,70
12/2015;127,90 ;99,90 ;116,50 ;171,00 ;113,90 ;77,40 ;116,90 ;394,21 ;1,24;1,16 ;86,3 ;137,38 ;95,20
01/2016;87,60 ;85,90 ;90,70 ;69,20 ;75,30 ;72,00 ;89,90 ;448,06 ;1,82;2,37 ;84,6 ;136,51 ;92,30
02/2016;84,20 ;92,20 ;89,40 ;59,10 ;68,30 ;62,00 ;89,10 ;430,56 ;0,68;0,72 ;84,2 ;135,25 ;96,30
03/2016;90,70 ;92,20 ;93,10 ;64,60 ;71,20 ;81,70 ;93,80 ;440,79 ;0,29;0,30 ;84,4 ;134,89 ;94,40
04/2016;82,60 ;89,20 ;86,80 ;65,10 ;64,30 ;65,80 ;88,10 ;433,96 ;0,62;0,61 ;86,2 ;134,25 ;92,60
05/2016;85,30 ;85,70 ;87,90 ;76,60 ;66,40 ;68,00 ;89,60 ;436,02 ;0,60;0,77 ;88,2 ;134,83 ;93,20
06/2016;86,00 ;81,30 ;92,20 ;80,20 ;61,40 ;64,10 ;83,30 ;439,33 ;0,38;0,36 ;89,5 ;135,13 ;92,30
07/2016;83,60 ;85,80 ;88,20 ;72,60 ;64,70 ;63,30 ;87,50 ;448,28 ;0,50;0,60 ;89,4 ;135,35 ;92,00
08/2016;87,20 ;85,00 ;94,60 ;72,30 ;62,90 ;62,30 ;94,70 ;455,45 ;1,00;0,57 ;88,6 ;134,56 ;93,70
09/2016;84,30 ;84,00 ;91,90 ;66,80 ;59,20 ;65,30 ;91,00 ;451,58 ;-0,17;-0,14 ;83,4 ;133,37 ;87,70
10/2016;87,70 ;78,50 ;95,10 ;72,40 ;64,70 ;65,90 ;95,30 ;456,44 ;0,15;0,16 ;87,8 ;132,53 ;86,10
11/2016;91,00 ;79,00 ;90,40 ;77,20 ;82,70 ;66,00 ;90,10 ;448,73 ;0,04;-0,17 ;87,8 ;132,27 ;86,50
12/2016;118,50 ;86,50 ;114,60 ;145,70 ;97,10 ;64,90 ;115,00 ;443,75 ;0,25;-0,07 ;87,1 ;130,19 ;84,10
01/2017;83,70 ;74,00 ;87,60 ;64,60 ;72,10 ;66,50 ;88,80 ;440,16 ;0,40;0,53 ;88,4 ;130,99 ;86,00
02/2017;78,70 ;69,60 ;88,30 ;56,80 ;58,50 ;58,90 ;90,10 ;424,55 ;0,68;0,47 ;91,4 ;132,16 ;85,60
03/2017;84,20 ;75,50 ;86,80 ;71,10 ;70,90 ;78,50 ;86,50 ;431,31 ;0,38;0,44 ;90,8 ;131,26 ;84,50
04/2017;81,90 ;69,50 ;84,10 ;75,30 ;60,70 ;63,60 ;84,50 ;448,51 ;0,38;0,22 ;90,4 ;131,55 ;84,50
05/2017;86,10 ;72,50 ;88,10 ;82,30 ;71,10 ;77,60 ;89,10 ;442,56 ;0,22;0,36 ;88,1 ;130,53 ;83,20
06/2017;82,90 ;72,50 ;84,60 ;77,20 ;67,10 ;70,90 ;85,00 ;420,35 ;-0,09;-0,27 ;90,3 ;130,55 ;83,10
07/2017;85,10 ;69,50 ;90,10 ;82,40 ;67,90 ;65,70 ;89,50 ;425,62 ;-0,03;-0,16 ;84,9 ;128,88 ;82,50
08/2017;87,10 ;68,00 ;93,10 ;78,90 ;68,90 ;73,40 ;92,50 ;410,43 ;0,02;-0,14 ;89,1 ;130,03 ;82,70
09/2017;85,90 ;66,40 ;89,30 ;75,00 ;67,30 ;71,10 ;88,30 ;410,27 ;0,13;-0,48 ;94,1 ;131,86 ;82,80
10/2017;86,80 ;67,00 ;93,70 ;71,90 ;67,10 ;68,70 ;95,40 ;421,05 ;0,10;-0,22 ;95,4 ;131,80 ;82,70
11/2017;90,90 ;60,00 ;87,60 ;83,30 ;91,50 ;78,80 ;87,90 ;407,37 ;0,26;0,20 ;93,8 ;131,49 ;83,00
12/2017;115,10 ;65,90 ;110,30 ;141,60 ;102,70 ;73,10 ;111,10 ;418,71 ;0,54;0,30 ;94,0 ;130,89 ;83,50
01/2018;84,30 ;59,10 ;86,00 ;69,50 ;79,50 ;77,30 ;84,80 ;443,81 ;0,42;0,24 ;92,2 ;130,54 ;82,80
02/2018;77,50 ;56,20 ;84,30 ;57,50 ;63,40 ;63,60 ;83,50 ;438,36 ;0,72;0,65 ;94,2 ;130,82 ;83,20
03/2018;91,00 ;63,10 ;95,60 ;70,50 ;78,00 ;78,20 ;94,40 ;441,19 ;0,12;0,32 ;91,4 ;130,43 ;83,50
04/2018;81,80 ;58,60 ;86,50 ;68,60 ;70,50 ;71,90 ;85,10 ;440,06 ;0,30;0,29 ;98,5 ;132,01 ;84,40
05/2018;87,10 ;62,60 ;89,90 ;77,50 ;73,80 ;76,00 ;90,00 ;446,03 ;0,28;0,29 ;90,7 ;129,37 ;82,60
06/2018;83,00 ;51,90 ;85,20 ;77,90 ;70,20 ;71,40 ;83,80 ;445,58 ;1,20;1,65 ;94,0 ;130,28 ;85,80
07/2018;82,70 ;55,20 ;89,20 ;75,90 ;66,20 ;69,90 ;86,70 ;421,89 ;0,59;0,75 ;93,6 ;129,87 ;79,10
08/2018;88,20 ;56,00 ;93,50 ;81,20 ;70,80 ;88,40 ;91,50 ;417,05 ;-0,38;-0,31 ;93,0 ;129,46 ;81,20
09/2018;83,20 ;55,90 ;89,30 ;72,70 ;67,20 ;73,30 ;86,90 ;418,48 ;0,38;0,21 ;91,8 ;129,82 ;78,40
10/2018;86,60 ;59,30 ;93,10 ;74,50 ;69,40 ;88,10 ;92,40 ;443,69 ;0,21;0,15 ;91,2 ;129,84 ;78,30
11/2018;95,20 ;60,20 ;90,60 ;84,90 ;97,00 ;84,60 ;91,20 ;460,24 ;-0,02;-0,26 ;89,0 ;129,61 ;75,90
12/2018;115,90 ;67,70 ;113,80 ;142,30 ;101,80 ;75,00 ;114,50 ;466,75 ;0,40;0,13 ;93,9 ;130,35 ;78,90
01/2019;84,70 ;60,20 ;89,10 ;66,90 ;77,50 ;90,00 ;88,10 ;460,46 ;0,49;0,31 ;92,0 ;131,01 ;81,00
02/2019;80,50 ;58,70 ;84,80 ;63,10 ;66,60 ;77,90 ;84,30 ;464,47 ;0,48;0,72 ;90,9 ;130,42 ;78,50
03/2019;85,00 ;61,70 ;90,40 ;64,20 ;70,00 ;73,70 ;91,10 ;496,33 ;0,83;0,91 ;94,1 ;130,63 ;79,20
04/2019;81,70 ;58,80 ;85,60 ;65,80 ;65,10 ;82,80 ;85,60 ;515,58 ;0,46;0,61 ;89,1 ;129,73 ;79,70
05/2019;84,50 ;59,30 ;89,10 ;74,20 ;73,10 ;85,10 ;89,80 ;492,93 ;-0,05;0,06 ;95,8 ;131,73 ;80,40
06/2019;81,70 ;58,90 ;86,30 ;74,00 ;63,40 ;86,60 ;86,10 ;498,67 ;0,05;-0,05 ;89,6 ;130,42 ;77,70
07/2019;86,60 ;60,70 ;88,50 ;82,00 ;81,00 ;95,20 ;87,60 ;479,28 ;0,30;0,07 ;95,8 ;132,36 ;80,30
08/2019;88,70 ;61,70 ;94,10 ;76,00 ;68,50 ;82,90 ;92,80 ;462,24 ;-0,06;0,07 ;97,5 ;132,66 ;80,20
09/2019;84,20 ;60,80 ;87,20 ;69,60 ;74,20 ;79,50 ;85,30 ;458,21 ;-0,13;-0,15 ;97,2 ;133,18 ;81,50
10/2019;88,20 ;63,60 ;92,80 ;71,90 ;74,00 ;81,80 ;91,80 ;462,57 ;0,27;0,20 ;97,5 ;133,36 ;82,70
11/2019;94,90 ;62,00 ;94,40 ;85,00 ;92,10 ;88,80 ;93,30 ;455,37 ;0,17;0,09 ;101,1 ;134,94 ;83,30
12/2019;120,50 ;66,80 ;111,30 ;137,80 ;118,70 ;84,40 ;110,00 ;516,91 ;1,19;1,15 ;97,2 ;134,18 ;83,70
01/2020;87,30 ;60,10 ;90,30 ;67,20 ;87,20 ;86,50 ;89,20 ;507,13 ;0,05;-0,17 ;100,9 ;134,64 ;82,80
02/2020;85,00 ;57,50 ;92,20 ;63,40 ;78,50 ;76,60 ;91,60 ;505,55 ;-0,02;-0,21 ;100,1 ;134,19 ;83,80
03/2020;82,50 ;51,10 ;98,40 ;37,50 ;71,10 ;64,30 ;98,70 ;533,65 ;0,46;0,57 ;98,9 ;129,43 ;77,10
04/2020;68,50 ;37,00 ;92,10 ;9,10 ;57,80 ;19,80 ;92,20 ;544,34 ;0,18;0,25 ;85,2 ;119,32 ;67,30
05/2020;-;-;-;-;-;-;-;558,81 ;-0,28;-0,07 ;-;-;-
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;Dieese;IBGE;IBGE;IBGE;BCB-Depec;BCB e IBGE
