Data;7460 - �ndice de Pre�os por Atacado-Oferta Global (IPA-OG) - Produtos agr�colas - Var. % mensal;7461 - �ndice Nacional de Custo da Constru��o (INCC-DI) - M�o-de-obra - Var. % mensal;7462 - �ndice Nacional de Custo da Constru��o (INCC-DI) - Materiais e servi�os - Var. % mensal
11/1959;-;3,61 ;-;1,50 ;3,22 ;-;-;-;-;-
12/1959;-;1,27 ;-;-0,63 ;1,56 ;-;-;-;-;-
01/1960;-;1,56 ;-;-0,22 ;2,15 ;-;-;-;-;-
02/1960;-;2,46 ;-;0,22 ;4,20 ;-;-;-;-;-
03/1960;-;1,50 ;-;4,64 ;1,44 ;-;-;-;-;-
04/1960;-;1,63 ;-;0,63 ;1,14 ;-;-;-;-;-
05/1960;-;0,15 ;-;1,59 ;0,14 ;-;-;-;-;-
06/1960;-;0,58 ;-;1,59 ;0,70 ;-;-;-;-;-
07/1960;-;2,02 ;-;0,20 ;1,81 ;-;-;-;-;-
08/1960;-;2,97 ;-;4,46 ;4,92 ;-;-;-;-;-
09/1960;-;3,99 ;-;2,05 ;3,78 ;-;-;-;-;-
10/1960;-;5,03 ;-;11,14 ;5,15 ;-;-;-;-;-
11/1960;-;3,02 ;-;8,53 ;2,51 ;-;-;-;-;-
12/1960;-;2,08 ;-;0,61 ;2,21 ;-;-;-;-;-
01/1961;-;1,92 ;-;0,00 ;2,17 ;-;-;-;-;-
02/1961;-;0,35 ;-;1,81 ;-0,33 ;-;-;-;-;-
03/1961;-;2,11 ;-;3,39 ;2,35 ;-;-;-;-;-
04/1961;-;4,93 ;-;5,72 ;5,47 ;-;-;-;-;-
05/1961;-;1,42 ;-;0,81 ;1,45 ;-;-;-;-;-
06/1961;-;1,51 ;-;1,48 ;2,35 ;-;-;-;-;-
07/1961;-;1,49 ;-;0,26 ;0,90 ;-;-;-;-;-
08/1961;-;5,23 ;-;1,06 ;5,94 ;-;-;-;-;-
09/1961;-;4,17 ;-;0,27 ;5,05 ;-;-;-;-;-
10/1961;-;8,30 ;-;10,65 ;10,50 ;-;-;-;-;-
11/1961;-;4,85 ;-;10,81 ;4,35 ;-;-;-;-;-
12/1961;-;3,70 ;-;1,07 ;3,63 ;-;-;-;-;-
01/1962;-;5,27 ;-;1,16 ;4,10 ;-;-;-;-;-
02/1962;-;1,69 ;-;1,86 ;1,93 ;-;-;-;-;-
03/1962;-;1,67 ;-;0,11 ;0,70 ;-;-;-;-;-
04/1962;-;0,82 ;-;1,32 ;0,21 ;-;-;-;-;-
05/1962;-;3,99 ;-;2,02 ;3,82 ;-;-;-;-;-
06/1962;-;3,13 ;-;2,36 ;2,68 ;-;-;-;-;-
07/1962;-;4,55 ;-;2,31 ;4,89 ;-;-;-;-;-
08/1962;-;2,83 ;-;2,73 ;1,74 ;-;-;-;-;-
09/1962;-;2,11 ;-;1,37 ;2,45 ;-;-;-;-;-
10/1962;-;2,76 ;-;7,15 ;2,95 ;-;-;-;-;-
11/1962;-;7,47 ;-;13,43 ;7,74 ;-;-;-;-;-
12/1962;-;6,27 ;-;9,54 ;5,18 ;-;-;-;-;-
01/1963;-;8,75 ;-;26,21 ;9,85 ;-;-;-;-;-
02/1963;-;5,95 ;-;2,65 ;6,92 ;-;-;-;-;-
03/1963;-;5,53 ;-;0,42 ;6,18 ;-;-;-;-;-
04/1963;-;1,56 ;-;1,49 ;0,42 ;-;-;-;-;-
05/1963;-;4,08 ;-;1,59 ;4,62 ;-;-;-;-;-
06/1963;-;5,03 ;-;1,22 ;6,27 ;-;-;-;-;-
07/1963;-;3,73 ;-;2,35 ;2,67 ;-;-;-;-;-
08/1963;-;3,67 ;-;0,56 ;4,11 ;-;-;-;-;-
09/1963;-;5,50 ;-;5,34 ;6,10 ;-;-;-;-;-
10/1963;-;6,15 ;-;4,01 ;6,08 ;-;-;-;-;-
11/1963;-;4,45 ;-;4,98 ;3,46 ;-;-;-;-;-
12/1963;-;5,94 ;-;2,23 ;5,69 ;-;-;-;-;-
01/1964;-;11,26 ;-;19,07 ;8,35 ;-;-;-;-;-
02/1964;-;6,75 ;-;3,14 ;5,62 ;-;-;-;-;-
03/1964;-;7,44 ;-;11,68 ;5,81 ;-;-;-;-;-
04/1964;-;4,39 ;-;2,76 ;3,78 ;-;-;-;-;-
05/1964;-;2,70 ;-;3,63 ;2,93 ;-;-;-;-;-
06/1964;-;4,33 ;-;2,24 ;4,71 ;-;-;-;-;-
07/1964;-;6,45 ;-;6,85 ;6,38 ;-;-;-;-;-
08/1964;-;2,92 ;-;2,46 ;3,18 ;-;-;-;-;-
09/1964;-;3,75 ;-;3,18 ;4,29 ;-;-;-;-;-
10/1964;-;4,47 ;-;4,57 ;4,63 ;-;-;-;-;-
11/1964;-;6,96 ;-;7,14 ;8,38 ;-;-;-;-;-
12/1964;-;5,98 ;-;7,99 ;4,75 ;-;-;-;-;-
01/1965;-;4,82 ;-;6,10 ;5,05 ;-;-;-;-;-
02/1965;-;3,13 ;-;4,00 ;1,76 ;-;-;-;-;-
03/1965;-;6,01 ;-;12,90 ;4,32 ;-;-;-;-;-
04/1965;-;2,35 ;-;3,15 ;1,82 ;-;-;-;-;-
05/1965;-;1,71 ;-;1,17 ;1,65 ;-;-;-;-;-
06/1965;-;1,15 ;-;0,21 ;1,36 ;-;-;-;-;-
07/1965;-;2,74 ;-;3,13 ;2,39 ;-;-;-;-;-
08/1965;-;1,20 ;-;0,31 ;1,46 ;-;-;-;-;-
09/1965;-;1,97 ;-;1,89 ;1,24 ;-;-;-;-;-
10/1965;-;2,02 ;-;1,82 ;2,81 ;-;-;-;-;-
11/1965;-;0,91 ;-;1,64 ;1,62 ;-;-;-;-;-
12/1965;-;1,92 ;-;0,85 ;2,23 ;-;-;-;-;-
01/1966;-;7,67 ;-;5,14 ;9,11 ;-;-;-;-;-
02/1966;-;2,89 ;-;4,40 ;1,97 ;-;-;-;-;-
03/1966;-;2,61 ;-;5,23 ;1,79 ;-;-;-;-;-
04/1966;-;4,71 ;-;4,17 ;5,20 ;-;-;-;-;-
05/1966;-;2,33 ;-;1,29 ;3,05 ;-;-;-;-;-
06/1966;-;1,85 ;-;0,68 ;1,84 ;-;-;-;-;-
07/1966;-;3,32 ;-;3,27 ;3,87 ;-;-;-;-;-
08/1966;-;2,19 ;-;2,57 ;2,19 ;-;-;-;-;-
09/1966;-;2,38 ;-;1,83 ;2,75 ;-;-;-;-;-
10/1966;-;2,05 ;-;0,76 ;2,69 ;-;-;-;-;-
11/1966;-;0,97 ;-;0,81 ;0,78 ;-;-;-;-;-
12/1966;-;0,68 ;-;0,84 ;0,35 ;-;-;-;-;-
01/1967;-;4,45 ;-;7,15 ;4,10 ;-;-;-;-;-
02/1967;-;2,43 ;-;5,00 ;2,65 ;-;-;-;-;-
03/1967;-;2,30 ;-;7,02 ;1,31 ;-;-;-;-;-
04/1967;-;2,52 ;-;5,05 ;2,00 ;-;-;-;-;-
05/1967;-;1,33 ;-;1,32 ;-0,02 ;-;-;-;-;-
06/1967;-;0,80 ;-;1,68 ;0,56 ;-;-;-;-;-
07/1967;-;2,82 ;-;0,92 ;3,51 ;-;-;-;-;-
08/1967;-;0,84 ;-;2,00 ;0,37 ;-;-;-;-;-
09/1967;-;1,51 ;-;1,96 ;1,41 ;-;-;-;-;-
10/1967;-;1,50 ;-;1,13 ;1,92 ;-;-;-;-;-
11/1967;-;1,55 ;-;1,47 ;1,68 ;-;-;-;-;-
12/1967;-;0,55 ;-;0,34 ;0,65 ;-;-;-;-;-
01/1968;-;3,29 ;-;3,39 ;3,67 ;-;-;-;-;-
02/1968;-;2,34 ;-;3,03 ;2,57 ;-;-;-;-;-
03/1968;-;2,07 ;-;2,86 ;2,34 ;-;-;-;-;-
04/1968;-;2,22 ;-;6,11 ;1,13 ;-;-;-;-;-
05/1968;-;1,51 ;-;2,55 ;0,81 ;-;-;-;-;-
06/1968;-;2,69 ;-;3,70 ;2,09 ;-;-;-;-;-
07/1968;-;1,42 ;-;0,82 ;1,53 ;-;-;-;-;-
08/1968;-;1,19 ;-;1,29 ;1,04 ;-;-;-;-;-
09/1968;-;1,83 ;-;1,28 ;2,50 ;-;-;-;-;-
10/1968;-;2,26 ;-;1,79 ;2,26 ;-;-;-;-;-
11/1968;-;1,49 ;-;1,37 ;1,77 ;-;-;-;-;-
12/1968;-;0,65 ;-;0,26 ;0,22 ;-;-;-;-;-
01/1969;-;1,69 ;-;-0,38 ;1,88 ;-;-;-;-;-
02/1969;-;1,42 ;-;3,22 ;1,07 ;-;-;-;-;-
03/1969;-;0,53 ;-;1,00 ;-0,67 ;-;-;-;-;-
04/1969;-;1,26 ;-;0,62 ;1,06 ;-;-;-;-;-
05/1969;-;1,15 ;-;2,76 ;0,96 ;-;-;-;-;-
06/1969;-;2,17 ;-;0,66 ;2,93 ;-;-;-;-;-
07/1969;-;2,30 ;-;1,60 ;2,64 ;-;-;-;-;-
08/1969;-;1,69 ;-;0,23 ;1,98 ;-;-;-;-;-
09/1969;-;2,21 ;-;0,93 ;2,49 ;-;-;-;-;-
10/1969;-;1,63 ;-;0,46 ;2,25 ;-;-;-;-;-
11/1969;-;1,47 ;-;0,46 ;1,32 ;-;-;-;-;-
12/1969;-;0,29 ;-;0,46 ;-0,09 ;-;-;-;-;-
01/1970;-;1,25 ;-;0,91 ;1,57 ;-;-;-;-;-
02/1970;-;1,42 ;-;1,35 ;1,37 ;-;-;-;-;-
03/1970;-;1,92 ;-;2,67 ;1,69 ;-;-;-;-;-
04/1970;-;0,32 ;-;3,03 ;-0,33 ;-;-;-;-;-
05/1970;-;1,60 ;-;2,94 ;1,50 ;-;-;-;-;-
06/1970;-;2,21 ;-;1,23 ;2,38 ;-;-;-;-;-
07/1970;-;1,72 ;-;1,21 ;1,76 ;-;-;-;-;-
08/1970;-;2,30 ;-;0,80 ;2,21 ;-;-;-;-;-
09/1970;-;1,99 ;-;1,63 ;1,93 ;-;-;-;-;-
10/1970;-;1,49 ;-;0,39 ;1,36 ;-;-;-;-;-
11/1970;-;0,78 ;-;0,39 ;0,75 ;-;-;-;-;-
12/1970;-;0,77 ;-;0,77 ;0,93 ;-;-;-;-;-
01/1971;-;1,61 ;-;1,15 ;1,79 ;-;-;-;-;-
02/1971;-;1,55 ;-;1,89 ;1,59 ;-;-;-;-;-
03/1971;-;1,99 ;-;1,12 ;2,55 ;-;-;-;-;-
04/1971;-;1,73 ;-;1,84 ;1,84 ;-;-;-;-;-
05/1971;-;1,84 ;-;1,81 ;1,92 ;-;-;-;-;-
06/1971;-;2,28 ;-;1,06 ;2,79 ;-;-;-;-;-
07/1971;-;1,49 ;-;1,05 ;1,34 ;-;-;-;-;-
08/1971;-;0,93 ;-;0,69 ;0,80 ;-;-;-;-;-
09/1971;-;1,44 ;-;0,69 ;1,53 ;-;-;-;-;-
10/1971;-;1,22 ;-;0,34 ;1,26 ;-;-;-;-;-
11/1971;-;1,02 ;-;0,34 ;1,20 ;-;-;-;-;-
12/1971;-;0,84 ;-;0,00 ;0,99 ;-;-;-;-;-
01/1972;-;1,66 ;-;0,72 ;1,83 ;-;-;-;-;-
02/1972;-;1,97 ;-;0,68 ;2,01 ;-;-;-;-;-
03/1972;-;1,62 ;-;3,69 ;1,32 ;-;-;-;-;-
04/1972;-;1,08 ;-;3,88 ;1,01 ;-;-;-;-;-
05/1972;-;0,86 ;-;4,40 ;0,36 ;-;-;-;-;-
06/1972;-;1,07 ;-;0,30 ;1,04 ;-;-;-;-;-
07/1972;-;1,38 ;-;1,19 ;1,44 ;-;-;-;-;-
08/1972;-;1,43 ;-;1,47 ;1,44 ;-;-;-;-;-
09/1972;-;1,12 ;-;0,87 ;1,22 ;-;-;-;-;-
10/1972;-;0,94 ;-;0,29 ;1,06 ;-;-;-;-;-
11/1972;-;0,87 ;-;0,29 ;1,21 ;-;-;-;-;-
12/1972;-;0,71 ;-;0,57 ;0,94 ;-;-;-;-;-
01/1973;-;1,65 ;-;1,70 ;1,84 ;-;-;-;-;-
02/1973;-;1,16 ;-;1,12 ;1,15 ;-;-;-;-;-
03/1973;-;1,44 ;-;1,93 ;1,38 ;-;-;-;-;-
04/1973;-;1,45 ;-;3,83 ;1,12 ;-;-;-;-;-
05/1973;-;1,06 ;-;2,35 ;0,98 ;-;-;-;-;-
06/1973;-;0,93 ;-;1,02 ;1,04 ;-;-;-;-;-
07/1973;-;1,03 ;-;1,01 ;1,14 ;-;-;-;-;-
08/1973;-;1,01 ;-;1,00 ;1,04 ;-;-;-;-;-
09/1973;-;1,03 ;-;0,99 ;1,08 ;-;-;-;-;-
10/1973;-;1,47 ;-;1,99 ;1,45 ;-;-;-;-;-
11/1973;-;1,24 ;-;1,20 ;1,24 ;-;-;-;-;-
12/1973;-;1,06 ;-;0,95 ;1,07 ;-;-;-;-;-
01/1974;-;2,93 ;-;2,59 ;2,59 ;-;-;-;-;-
02/1974;-;2,66 ;-;2,69 ;2,72 ;-;-;-;-;-
03/1974;-;4,51 ;-;4,04 ;4,63 ;-;-;-;-;-
04/1974;-;5,14 ;-;4,08 ;5,74 ;-;-;-;-;-
05/1974;-;3,51 ;-;4,25 ;3,94 ;-;-;-;-;-
06/1974;-;1,98 ;-;3,98 ;1,74 ;-;-;-;-;-
07/1974;-;1,19 ;-;1,07 ;0,86 ;-;-;-;-;-
08/1974;-;1,29 ;-;0,85 ;1,21 ;-;-;-;-;-
09/1974;-;1,66 ;-;0,86 ;1,73 ;-;-;-;-;-
10/1974;-;1,50 ;-;0,83 ;1,63 ;-;-;-;-;-
11/1974;-;1,57 ;-;1,42 ;1,61 ;-;-;-;-;-
12/1974;-;2,20 ;-;1,47 ;2,41 ;-;-;-;-;-
01/1975;-;2,23 ;-;2,00 ;1,95 ;-;-;-;-;-
02/1975;-;2,27 ;-;1,83 ;2,54 ;-;-;-;-;-
03/1975;-;1,57 ;-;3,86 ;1,03 ;-;-;-;-;-
04/1975;-;1,79 ;-;2,23 ;1,59 ;-;-;-;-;-
05/1975;-;2,13 ;-;2,71 ;2,03 ;-;-;-;-;-
06/1975;-;2,22 ;-;1,02 ;2,44 ;-;-;-;-;-
07/1975;-;2,11 ;-;1,50 ;2,05 ;-;-;-;-;-
08/1975;-;2,79 ;-;0,67 ;2,85 ;-;-;-;-;-
09/1975;-;2,31 ;-;1,22 ;2,54 ;-;-;-;-;-
10/1975;-;2,25 ;-;0,88 ;2,64 ;-;-;-;-;-
11/1975;-;2,15 ;-;2,20 ;2,10 ;-;-;-;-;-
12/1975;-;2,18 ;-;1,70 ;2,25 ;-;-;-;-;-
01/1976;-;3,09 ;-;2,23 ;2,71 ;-;-;-;-;-
02/1976;-;4,15 ;-;3,74 ;3,68 ;-;-;-;-;-
03/1976;-;3,69 ;-;5,30 ;3,68 ;-;-;-;-;-
04/1976;-;3,76 ;-;5,85 ;3,51 ;-;-;-;-;-
05/1976;-;3,41 ;-;5,42 ;3,01 ;-;-;-;-;-
06/1976;-;2,67 ;-;5,06 ;2,21 ;-;-;-;-;-
07/1976;-;3,81 ;-;4,98 ;4,31 ;-;-;-;-;-
08/1976;-;4,10 ;-;4,05 ;4,84 ;-;-;-;-;-
09/1976;-;3,43 ;-;3,97 ;3,52 ;-;-;-;-;-
10/1976;-;2,36 ;-;2,44 ;2,22 ;-;-;-;-;-
11/1976;-;1,90 ;-;2,91 ;1,72 ;-;-;-;-;-
12/1976;-;2,30 ;-;1,20 ;2,30 ;-;-;-;-;-
01/1977;-;3,74 ;-;3,66 ;3,07 ;-;-;-;-;-
02/1977;-;3,17 ;-;5,04 ;2,83 ;-;-;-;-;-
03/1977;-;4,15 ;-;3,17 ;4,30 ;-;-;-;-;-
04/1977;-;4,08 ;-;4,98 ;4,30 ;-;-;-;-;-
05/1977;-;3,58 ;-;5,09 ;3,36 ;-;-;-;-;-
06/1977;-;1,96 ;-;2,10 ;1,58 ;-;-;-;-;-
07/1977;-;2,07 ;-;1,97 ;1,89 ;-;-;-;-;-
08/1977;-;1,30 ;-;1,67 ;0,88 ;-;-;-;-;-
09/1977;-;1,77 ;-;1,81 ;1,55 ;-;-;-;-;-
10/1977;-;2,74 ;-;4,75 ;2,29 ;-;-;-;-;-
11/1977;-;2,61 ;-;2,02 ;2,61 ;-;-;-;-;-
12/1977;-;2,11 ;-;1,43 ;2,18 ;-;-;-;-;-
01/1978;-;2,66 ;-;1,80 ;3,02 ;-;-;-;-;-
02/1978;-;3,40 ;-;1,92 ;3,54 ;-;-;-;-;-
03/1978;-;3,30 ;-;4,45 ;3,50 ;-;-;-;-;-
04/1978;-;3,36 ;-;5,19 ;3,46 ;-;-;-;-;-
05/1978;-;3,21 ;-;2,06 ;3,50 ;-;-;-;-;-
06/1978;-;3,63 ;-;2,49 ;3,61 ;-;-;-;-;-
07/1978;-;2,82 ;-;2,16 ;2,47 ;-;-;-;-;-
08/1978;-;2,67 ;-;2,50 ;2,83 ;-;-;-;-;-
09/1978;-;2,55 ;-;3,19 ;2,69 ;-;-;-;-;-
10/1978;-;2,87 ;-;2,00 ;3,22 ;-;-;-;-;-
11/1978;-;2,75 ;-;2,50 ;3,06 ;-;-;-;-;-
12/1978;-;1,52 ;-;1,68 ;1,39 ;-;-;-;-;-
01/1979;-;3,68 ;-;2,34 ;3,42 ;-;-;-;-;-
02/1979;-;3,75 ;-;2,62 ;3,67 ;-;-;-;-;-
03/1979;-;5,77 ;-;8,15 ;5,98 ;-;-;-;-;-
04/1979;-;3,77 ;-;3,62 ;3,78 ;-;-;-;-;-
05/1979;-;2,34 ;-;4,27 ;2,01 ;-;-;-;-;-
06/1979;-;3,45 ;-;3,53 ;3,57 ;-;-;-;-;-
07/1979;-;4,36 ;-;1,71 ;4,30 ;-;-;-;-;-
08/1979;-;5,83 ;-;3,71 ;6,23 ;-;-;-;-;-
09/1979;-;7,69 ;-;10,26 ;8,25 ;-;-;-;-;-
10/1979;-;5,25 ;-;2,47 ;6,41 ;-;-;-;-;-
11/1979;-;5,57 ;-;3,84 ;5,64 ;-;-;-;-;-
12/1979;-;7,30 ;-;3,67 ;7,22 ;-;-;-;-;-
01/1980;-;6,24 ;-;4,69 ;7,26 ;-;-;-;-;-
02/1980;-;4,20 ;-;9,53 ;3,64 ;-;-;-;-;-
03/1980;-;6,57 ;-;12,79 ;6,50 ;-;-;-;-;-
04/1980;-;5,72 ;-;3,14 ;6,65 ;-;-;-;-;-
05/1980;-;6,39 ;-;4,88 ;7,14 ;-;-;-;-;-
06/1980;-;5,86 ;-;5,73 ;6,41 ;-;-;-;-;-
07/1980;-;8,45 ;-;6,32 ;9,65 ;-;-;-;-;-
08/1980;-;6,92 ;-;10,28 ;6,83 ;-;-;-;-;-
09/1980;-;5,28 ;-;8,01 ;5,23 ;-;-;-;-;-
10/1980;-;7,65 ;-;3,10 ;9,37 ;-;-;-;-;-
11/1980;-;7,55 ;-;5,06 ;8,51 ;-;-;-;-;-
12/1980;-;5,89 ;-;4,99 ;5,12 ;-;-;-;-;-
01/1981;-;6,56 ;-;4,49 ;6,12 ;-;-;-;-;-
02/1981;-;8,48 ;-;14,88 ;8,16 ;-;-;-;-;-
03/1981;-;7,37 ;-;8,06 ;7,90 ;-;-;-;-;-
04/1981;-;5,47 ;-;3,40 ;5,34 ;-;-;-;-;-
05/1981;-;6,19 ;-;3,49 ;6,95 ;-;-;-;-;-
06/1981;-;4,47 ;-;2,36 ;4,43 ;-;-;-;-;-
07/1981;-;5,08 ;-;1,95 ;4,52 ;-;-;-;-;-
08/1981;-;6,73 ;-;12,40 ;5,57 ;-;-;-;-;-
09/1981;-;5,07 ;-;5,53 ;4,99 ;-;-;-;-;-
10/1981;-;4,35 ;-;1,72 ;5,05 ;-;-;-;-;-
11/1981;-;5,31 ;-;3,28 ;5,91 ;-;-;-;-;-
12/1981;-;3,80 ;-;3,11 ;3,45 ;-;-;-;-;-
01/1982;-;6,29 ;-;3,80 ;6,27 ;-;-;-;-;-
02/1982;-;6,85 ;-;10,87 ;6,43 ;-;-;-;-;-
03/1982;-;7,23 ;-;12,54 ;7,15 ;-;-;-;-;-
04/1982;-;5,36 ;-;4,27 ;5,54 ;-;-;-;-;-
05/1982;-;6,12 ;-;5,26 ;5,51 ;-;-;-;-;-
06/1982;-;7,99 ;-;3,67 ;9,25 ;-;-;-;-;-
07/1982;-;6,06 ;-;5,49 ;5,66 ;-;-;-;-;-
08/1982;-;5,80 ;-;16,94 ;4,56 ;-;-;-;-;-
09/1982;-;3,66 ;-;4,02 ;3,36 ;-;-;-;-;-
10/1982;-;4,78 ;-;3,24 ;5,23 ;-;-;-;-;-
11/1982;-;5,00 ;-;4,06 ;5,26 ;-;-;-;-;-
12/1982;-;6,14 ;-;2,37 ;6,02 ;-;-;-;-;-
01/1983;-;9,05 ;-;3,87 ;9,82 ;-;-;-;-;-
02/1983;-;6,52 ;-;12,65 ;5,60 ;-;-;-;-;-
03/1983;-;10,09 ;-;8,29 ;10,75 ;-;-;-;-;-
04/1983;-;9,20 ;-;4,07 ;10,31 ;-;-;-;-;-
05/1983;-;6,40 ;-;7,16 ;6,58 ;-;-;-;-;-
06/1983;-;12,61 ;-;5,06 ;13,73 ;-;-;-;-;-
07/1983;-;13,31 ;-;6,65 ;14,45 ;-;-;-;-;-
08/1983;-;10,11 ;-;16,87 ;10,10 ;-;-;-;-;-
09/1983;-;12,79 ;-;8,91 ;14,42 ;-;-;-;-;-
10/1983;-;13,26 ;-;5,06 ;15,57 ;-;-;-;-;-
11/1983;-;8,43 ;-;12,05 ;8,69 ;-;-;-;-;-
12/1983;-;7,56 ;-;4,94 ;7,40 ;-;-;-;-;-
01/1984;-;9,81 ;-;5,94 ;10,19 ;-;-;-;-;-
02/1984;-;12,26 ;-;21,67 ;11,93 ;-;-;-;-;-
03/1984;-;9,95 ;-;9,36 ;10,11 ;-;-;-;-;-
04/1984;-;8,94 ;-;4,36 ;9,60 ;-;-;-;-;-
05/1984;-;8,86 ;-;7,99 ;8,82 ;-;-;-;-;-
06/1984;-;9,25 ;-;8,93 ;9,08 ;-;-;-;-;-
07/1984;-;10,32 ;-;5,26 ;10,75 ;-;-;-;-;-
08/1984;-;10,62 ;-;27,61 ;9,20 ;-;-;-;-;-
09/1984;-;10,51 ;-;5,60 ;11,17 ;-;-;-;-;-
10/1984;-;12,58 ;-;8,64 ;13,67 ;-;-;-;-;-
11/1984;-;9,88 ;-;8,64 ;10,36 ;-;-;-;-;-
12/1984;-;10,53 ;-;8,16 ;10,84 ;-;-;-;-;-
01/1985;-;12,64 ;-;7,53 ;12,93 ;-;-;-;-;-
02/1985;-;10,16 ;-;13,05 ;9,22 ;-;-;-;-;-
03/1985;-;12,71 ;-;11,59 ;13,58 ;-;-;-;-;-
04/1985;-;7,22 ;-;8,80 ;7,25 ;-;-;-;-;-
05/1985;-;7,78 ;-;22,42 ;6,47 ;-;-;-;-;-
06/1985;-;7,84 ;-;6,37 ;7,08 ;-;-;-;-;-
07/1985;-;8,92 ;-;9,80 ;7,61 ;-;-;-;-;-
08/1985;-;14,00 ;-;13,13 ;14,51 ;-;-;-;-;-
09/1985;-;9,13 ;-;9,62 ;9,06 ;-;-;-;-;-
10/1985;-;9,05 ;-;6,75 ;9,54 ;-;-;-;-;-
11/1985;-;14,95 ;-;20,98 ;15,07 ;-;-;-;-;-
12/1985;-;13,20 ;-;13,51 ;12,27 ;-;-;-;-;-
01/1986;-;17,79 ;-;13,96 ;18,98 ;-;-;-;-;-
02/1986;-;14,98 ;-;12,09 ;16,11 ;-;-;-;-;-
03/1986;-;5,52 ;-;11,05 ;4,16 ;-;-;-;-;-
04/1986;-;-0,58 ;-;-0,33 ;-1,46 ;-;-;-;-;-
05/1986;-;0,32 ;-;0,24 ;0,09 ;-;-;-;-;-
06/1986;-;0,53 ;-;1,19 ;0,37 ;-;-;-;-;-
07/1986;-;0,63 ;-;1,08 ;0,58 ;-;-;-;-;-
08/1986;-;1,33 ;-;2,69 ;1,34 ;-;-;-;-;-
09/1986;-;1,09 ;-;3,97 ;0,67 ;-;-;-;-;-
10/1986;-;1,39 ;-;3,75 ;1,16 ;-;-;-;-;-
11/1986;-;2,46 ;-;5,17 ;2,13 ;-;-;-;-;-
12/1986;-;7,56 ;-;7,34 ;7,65 ;-;-;-;-;-
01/1987;-;12,04 ;-;14,00 ;10,50 ;-;-;-;-;-
02/1987;-;14,11 ;-;32,46 ;10,35 ;-;-;-;-;-
03/1987;-;15,00 ;-;22,59 ;14,05 ;-;-;-;-;-
04/1987;-;20,08 ;-;13,26 ;20,98 ;-;-;-;-;-
05/1987;-;27,58 ;-;20,09 ;30,72 ;-;-;-;-;-
06/1987;-;25,88 ;-;20,93 ;26,26 ;-;-;-;-;-
07/1987;-;9,33 ;-;7,72 ;9,89 ;-;-;-;-;-
08/1987;-;4,50 ;-;3,31 ;3,72 ;-;-;-;-;-
09/1987;-;8,02 ;-;7,46 ;7,55 ;-;-;-;-;-
10/1987;-;11,15 ;-;10,09 ;11,68 ;-;-;-;-;-
11/1987;-;14,46 ;-;13,17 ;14,98 ;-;-;-;-;-
12/1987;-;15,89 ;-;13,88 ;16,05 ;-;-;-;-;-
01/1988;-;19,14 ;-;17,39 ;18,39 ;-;-;-;-;-
02/1988;-;17,65 ;-;15,78 ;17,86 ;-;-;-;-;-
03/1988;-;18,16 ;-;19,46 ;17,52 ;-;-;-;-;-
04/1988;-;20,33 ;-;17,02 ;21,32 ;-;-;-;-;-
05/1988;-;19,51 ;-;23,64 ;19,27 ;-;-;-;-;-
06/1988;-;20,83 ;-;20,20 ;21,23 ;-;-;-;-;-
07/1988;-;21,54 ;-;19,71 ;22,25 ;-;-;-;-;-
08/1988;-;22,89 ;-;21,89 ;23,71 ;-;-;-;-;-
09/1988;-;25,76 ;-;25,36 ;26,15 ;-;-;-;-;-
10/1988;-;27,58 ;-;34,58 ;26,88 ;-;-;-;-;-
11/1988;-;27,97 ;-;30,72 ;27,59 ;-;-;-;-;-
12/1988;-;28,89 ;-;27,72 ;29,46 ;-;-;-;-;-
01/1989;-;36,56 ;-;31,99 ;36,12 ;-;-;-;-;-
02/1989;-;11,80 ;-;13,92 ;10,74 ;-;-;-;-;-
03/1989;-;4,23 ;-;5,51 ;3,11 ;-;-;-;-;-
04/1989;-;5,17 ;-;6,12 ;4,88 ;-;-;-;-;-
05/1989;-;12,76 ;-;18,96 ;11,22 ;-;-;-;-;-
06/1989;19,68 ;26,76 ;-;29,86 ;25,42 ;-;-;-;-;-
07/1989;35,90 ;37,88 ;-;41,43 ;39,44 ;-;-;-;-;-
08/1989;36,92 ;36,48 ;-;43,05 ;36,73 ;-;-;-;-;-
09/1989;39,92 ;38,92 ;-;39,56 ;41,41 ;-;-;-;-;-
10/1989;40,64 ;39,70 ;-;39,22 ;40,34 ;-;-;-;-;-
11/1989;40,48 ;44,27 ;-;41,39 ;44,32 ;-;-;-;-;-
12/1989;47,13 ;49,39 ;-;46,84 ;48,89 ;-;-;-;-;-
01/1990;61,46 ;71,90 ;72,84 ;64,68 ;72,63 ;-;-;-;-;-
02/1990;81,29 ;71,68 ;67,52 ;70,25 ;73,99 ;-;-;-;-;-
03/1990;83,95 ;81,32 ;80,75 ;78,41 ;82,04 ;-;-;-;-;-
04/1990;28,35 ;11,33 ;17,25 ;1,67 ;9,98 ;-;-;-;-;-
05/1990;5,93 ;9,08 ;9,63 ;0,99 ;9,93 ;-;-;-;-;-
06/1990;9,94 ;9,02 ;12,75 ;7,42 ;7,32 ;-;-;-;-;-
07/1990;12,01 ;12,98 ;14,71 ;16,67 ;11,57 ;-;-;-;-;-
08/1990;13,62 ;12,93 ;12,86 ;13,11 ;12,95 ;-;-;-;-;-
09/1990;12,80 ;11,71 ;13,12 ;10,87 ;11,06 ;-;-;-;-;-
