Data;28473 - Índice volume de vendas no varejo - Total - Brasi - Dados dessazonalizados - Índice;28474 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil - Dados dessazonalizados - Índice;28475 - Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Brasil - Dados dessazonalizados - Índice;28476 - Índice volume de vendas no varejo - Hipermercados e supermercados - Brasil - Dados dessazonalizados - Índice;28477 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Brasil - Dados dessazonalizados - Índice;28478 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Dados dessazonalizados - Índice;28479 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil - Dados dessazonalizados - Índice;28480 - Artigos farmacêuticos, médicos, ortopédicos, perfumaria e cosméticos - Dados dessazonalizados - Índice;28481 - Livros, jornais, revistas e papelaria - Dados dessazonalizados - Índice;28482 - Equipamentos e materiais para escritório e comunicação - Dados dessazonalizados - Índice;28483 - Outros artigos de uso pessoal e doméstico - Dados dessazonalizados - Índice;28484 - Material de construção - Dados dessazonalizados - Índice;28485 - Comércio ampliado - Dados dessazonalizados - Índice
05/2014;100,30 ;99,20 ;99,60 ;99,80 ;99,90 ;105,30 ;103,00 ;99,20 ;102,50 ;96,50;99,90 ;100,70 ;101,00
06/2014;99,30 ;96,10 ;99,90 ;100,20 ;97,80 ;100,90 ;93,20 ;98,60 ;95,50 ;95,30;99,10 ;93,60 ;96,60
07/2014;98,60 ;98,10 ;99,50 ;99,40 ;98,90 ;94,90 ;96,60 ;99,80 ;97,50 ;96,10;98,40 ;97,50 ;97,80
08/2014;100,10 ;100,20 ;99,30 ;99,20 ;102,60 ;99,50 ;96,30 ;102,20 ;99,90 ;102,10;99,50 ;99,10 ;98,40
09/2014;100,20 ;100,70 ;99,30 ;99,10 ;100,70 ;100,50 ;98,70 ;102,90 ;98,20 ;101,80;101,70 ;99,90 ;99,40
10/2014;100,90 ;101,90 ;100,40 ;100,20 ;100,90 ;99,10 ;98,10 ;103,70 ;94,40 ;107,10;101,90 ;101,50 ;100,50
11/2014;100,90 ;101,80 ;99,70 ;99,70 ;104,20 ;99,30 ;104,60 ;102,60 ;104,60 ;109,00;101,30 ;101,60 ;102,10
12/2014;99,80 ;100,00 ;100,20 ;100,30 ;97,40 ;97,60 ;94,90 ;101,60 ;96,50 ;105,60;103,70 ;98,60 ;98,40
01/2015;100,00 ;100,20 ;100,30 ;100,30 ;98,00 ;96,70 ;92,70 ;102,60 ;94,60 ;116,00;103,80 ;99,20 ;98,20
02/2015;99,00 ;94,60 ;99,60 ;99,60 ;97,70 ;93,50 ;87,90 ;102,10 ;96,00 ;111,10;104,70 ;98,40 ;95,60
03/2015;98,50 ;96,80 ;98,70 ;98,80 ;95,70 ;89,60 ;83,10 ;103,00 ;91,90 ;109,30;103,40 ;95,40 ;94,30
04/2015;97,40 ;96,40 ;98,50 ;98,80 ;92,30 ;88,60 ;85,90 ;103,70 ;92,30 ;97,10;101,30 ;95,90 ;93,60
05/2015;96,90 ;95,80 ;97,80 ;98,00 ;95,00 ;86,90 ;82,80 ;103,00 ;92,40 ;98,90;101,70 ;92,90 ;92,00
06/2015;95,90 ;94,40 ;97,40 ;97,80 ;91,40 ;85,00 ;83,10 ;102,90 ;89,10 ;100,10;99,50 ;91,90 ;91,10
07/2015;94,50 ;93,60 ;96,30 ;96,20 ;90,60 ;82,30 ;83,80 ;102,00 ;87,00 ;90,50;98,50 ;90,40 ;91,10
08/2015;93,90 ;93,10 ;95,30 ;95,20 ;88,80 ;81,90 ;81,10 ;103,50 ;86,30 ;94,40;98,50 ;89,80 ;89,90
09/2015;93,70 ;92,60 ;96,40 ;96,30 ;87,50 ;82,80 ;77,80 ;102,00 ;85,80 ;92,70;94,20 ;88,50 ;88,20
10/2015;94,40 ;90,20 ;98,60 ;98,20 ;88,70 ;83,30 ;76,60 ;103,50 ;85,90 ;82,50;93,70 ;86,90 ;88,60
11/2015;93,00 ;89,70 ;96,00 ;95,70 ;89,00 ;82,60 ;77,40 ;103,90 ;84,30 ;98,80;93,00 ;86,10 ;88,30
12/2015;92,70 ;89,60 ;96,00 ;95,70 ;87,70 ;81,20 ;76,90 ;104,40 ;82,90 ;91,60;94,90 ;85,30 ;88,00
01/2016;90,30 ;87,80 ;94,70 ;94,80 ;87,10 ;74,10 ;75,00 ;104,00 ;82,00 ;89,70;89,80 ;84,30 ;85,30
02/2016;91,60 ;87,80 ;95,40 ;95,40 ;83,60 ;80,20 ;78,10 ;103,80 ;77,00 ;86,70;90,40 ;83,60 ;87,00
03/2016;90,70 ;86,20 ;94,30 ;94,40 ;79,20 ;77,80 ;75,30 ;104,70 ;76,60 ;98,00;88,90 ;83,30 ;85,40
04/2016;90,80 ;86,30 ;94,60 ;95,30 ;81,80 ;76,30 ;71,70 ;101,10 ;73,90 ;83,00;91,20 ;81,20 ;84,10
05/2016;90,10 ;85,60 ;94,70 ;95,00 ;86,60 ;75,80 ;72,20 ;100,80 ;72,60 ;83,80;88,90 ;82,60 ;84,30
06/2016;90,20 ;85,00 ;95,10 ;94,60 ;85,30 ;74,60 ;68,60 ;100,20 ;72,10 ;80,70;88,50 ;81,90 ;83,00
07/2016;89,40 ;84,90 ;94,40 ;94,80 ;78,00 ;74,70 ;69,30 ;101,00 ;71,80 ;82,30;88,30 ;82,10 ;82,40
08/2016;89,00 ;84,00 ;94,60 ;95,00 ;79,80 ;72,70 ;65,80 ;98,30 ;71,90 ;82,50;87,30 ;80,20 ;81,40
09/2016;87,90 ;83,90 ;93,60 ;93,40 ;78,20 ;71,90 ;67,20 ;98,90 ;70,90 ;82,20;84,60 ;78,90 ;81,10
10/2016;88,30 ;82,30 ;93,60 ;93,40 ;79,60 ;74,10 ;68,40 ;99,00 ;72,60 ;79,30;89,20 ;77,60 ;81,60
11/2016;87,80 ;82,70 ;93,30 ;92,80 ;78,10 ;73,50 ;68,50 ;98,40 ;74,20 ;86,60;89,10 ;81,00 ;81,20
12/2016;87,30 ;84,00 ;91,40 ;90,80 ;78,70 ;74,50 ;69,60 ;98,20 ;72,70 ;93,60;90,70 ;84,20 ;82,30
01/2017;90,80 ;82,80 ;98,10 ;98,70 ;88,10 ;77,70 ;69,60 ;101,70 ;74,10 ;81,90;87,50 ;86,60 ;85,40
02/2017;91,10 ;83,50 ;97,20 ;97,60 ;89,30 ;78,50 ;69,00 ;102,20 ;73,90 ;77,70;86,70 ;86,10 ;85,60
03/2017;89,60 ;83,90 ;91,80 ;91,40 ;88,20 ;81,80 ;68,00 ;100,70 ;79,50 ;84,80;89,20 ;86,90 ;83,70
04/2017;91,20 ;83,40 ;93,20 ;94,00 ;92,50 ;80,70 ;68,50 ;101,40 ;72,60 ;89,80;89,60 ;86,80 ;85,40
05/2017;91,50 ;84,40 ;94,60 ;95,20 ;88,20 ;82,70 ;70,70 ;102,40 ;70,50 ;89,50;90,90 ;87,10 ;85,70
06/2017;92,90 ;85,00 ;95,30 ;95,70 ;90,40 ;85,00 ;73,90 ;103,50 ;72,20 ;86,50;92,80 ;88,50 ;87,60
07/2017;92,60 ;83,70 ;95,70 ;96,00 ;89,90 ;84,90 ;73,10 ;103,30 ;71,10 ;90,40;93,10 ;90,20 ;87,70
08/2017;92,00 ;81,30 ;95,40 ;95,30 ;87,10 ;85,50 ;75,40 ;102,90 ;69,70 ;81,30;91,90 ;90,40 ;87,80
09/2017;92,30 ;81,00 ;97,40 ;97,50 ;86,10 ;83,00 ;76,00 ;106,50 ;67,00 ;81,40;93,90 ;92,60 ;88,10
10/2017;92,00 ;82,00 ;97,30 ;97,70 ;84,90 ;82,30 ;75,00 ;105,30 ;70,20 ;82,60;92,00 ;90,70 ;87,40
11/2017;92,00 ;80,30 ;97,50 ;98,00 ;84,30 ;84,60 ;76,20 ;105,50 ;74,50 ;79,20;93,80 ;92,20 ;88,70
12/2017;91,90 ;79,10 ;97,60 ;98,30 ;86,30 ;81,90 ;77,30 ;106,50 ;66,50 ;80,80;92,00 ;94,70 ;89,40
01/2018;92,70 ;78,80 ;100,40 ;101,40 ;87,10 ;81,00 ;79,70 ;105,70 ;68,20 ;82,20;95,80 ;91,20 ;89,50
02/2018;92,40 ;78,20 ;99,20 ;99,50 ;85,10 ;81,50 ;82,60 ;106,70 ;69,50 ;82,70;94,20 ;91,60 ;90,10
03/2018;93,70 ;79,40 ;99,50 ;99,70 ;86,20 ;81,50 ;84,30 ;107,20 ;70,20 ;82,60;95,00 ;90,80 ;90,90
04/2018;95,40 ;82,30 ;100,40 ;101,40 ;87,80 ;81,80 ;85,80 ;109,80 ;68,10 ;90,10;95,80 ;93,40 ;92,90
05/2018;93,90 ;77,50 ;101,30 ;102,10 ;85,80 ;77,70 ;72,60 ;107,00 ;61,40 ;83,40;97,50 ;85,60 ;87,90
06/2018;93,60 ;75,40 ;97,70 ;98,40 ;86,20 ;85,50 ;83,10 ;108,70 ;63,90 ;86,80;101,60 ;95,40 ;90,60
07/2018;92,90 ;76,40 ;99,20 ;99,50 ;84,10 ;79,10 ;82,10 ;109,00 ;61,60 ;85,30;96,80 ;91,10 ;89,60
08/2018;95,20 ;79,70 ;99,70 ;100,20 ;90,20 ;82,70 ;87,80 ;110,70 ;58,70 ;84,90;99,90 ;95,80 ;93,90
09/2018;93,40 ;78,30 ;98,30 ;98,90 ;88,70 ;82,60 ;87,40 ;110,30 ;57,60 ;85,10;98,40 ;93,70 ;92,00
10/2018;92,90 ;77,30 ;98,60 ;99,30 ;86,90 ;79,60 ;87,30 ;111,00 ;54,10 ;81,40;99,50 ;93,50 ;91,50
11/2018;95,30 ;77,90 ;100,20 ;100,90 ;88,70 ;84,90 ;86,40 ;113,10 ;50,40 ;81,80;106,70 ;93,00 ;93,10
12/2018;93,00 ;79,10 ;100,20 ;101,40 ;85,90 ;77,30 ;83,70 ;113,60 ;50,30 ;78,60;95,90 ;93,60 ;92,00
01/2019;94,30 ;79,40 ;101,90 ;103,20 ;85,70 ;80,10 ;87,50 ;113,50 ;49,00 ;84,10;100,60 ;93,80 ;92,80
02/2019;93,90 ;79,30 ;100,10 ;101,30 ;89,70 ;79,80 ;87,50 ;113,70 ;49,90 ;85,00;100,80 ;93,60 ;92,30
03/2019;94,90 ;78,80 ;99,40 ;100,40 ;87,60 ;80,10 ;91,50 ;114,70 ;47,70 ;90,70;101,90 ;95,50 ;93,50
04/2019;94,30 ;79,30 ;97,20 ;98,20 ;83,50 ;82,30 ;91,80 ;114,10 ;49,20 ;84,40;101,50 ;99,00 ;93,60
05/2019;94,60 ;78,70 ;99,20 ;100,20 ;85,10 ;81,60 ;91,40 ;115,60 ;50,10 ;84,10;100,60 ;96,10 ;94,30
06/2019;95,10 ;79,40 ;99,20 ;100,00 ;86,50 ;82,50 ;94,50 ;115,80 ;48,50 ;82,00;102,20 ;95,30 ;94,40
07/2019;95,80 ;79,90 ;100,20 ;101,00 ;87,70 ;83,30 ;93,80 ;116,60 ;49,30 ;80,90;104,40 ;96,30 ;95,10
08/2019;95,70 ;77,20 ;100,70 ;101,50 ;85,80 ;82,40 ;92,30 ;116,70 ;49,00 ;83,70;104,60 ;95,60 ;95,20
09/2019;96,40 ;78,00 ;100,90 ;101,70 ;88,50 ;88,50 ;93,50 ;117,50 ;48,30 ;82,40;106,50 ;97,00 ;96,00
10/2019;96,60 ;79,20 ;100,70 ;101,20 ;88,60 ;86,80 ;95,70 ;119,00 ;48,10 ;86,20;106,90 ;98,90 ;96,70
11/2019;96,90 ;79,10 ;101,00 ;101,70 ;88,50 ;88,40 ;94,30 ;124,00 ;43,80 ;89,00;108,10 ;98,40 ;96,20
12/2019;96,60 ;78,70 ;99,60 ;100,40 ;87,70 ;90,60 ;89,30 ;121,30 ;50,20 ;79,80;108,10 ;97,00 ;95,40
01/2020;95,30 ;78,70 ;98,20 ;99,30 ;88,00 ;88,90 ;97,00 ;121,50 ;49,90 ;77,80;108,10 ;96,60 ;96,00
02/2020;95,80 ;78,30 ;99,50 ;100,50 ;89,30 ;90,70 ;97,00 ;122,30 ;47,90 ;76,00;109,70 ;96,60 ;96,50
03/2020;93,80 ;69,50 ;113,60 ;116,00 ;51,50 ;67,00 ;61,40 ;124,00 ;30,20 ;65,10;79,60 ;79,90 ;83,30
04/2020;78,00 ;59,00 ;100,20 ;102,40 ;20,30 ;53,50 ;39,20 ;102,90 ;17,10 ;45,90;56,10 ;78,40 ;68,70
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE
